country,series,phase,n,mean_anomaly_pct,median_anomaly_pct,mean_yoy_pct,share_below_trend,years
Brazil,Production Total,La Nina,10,0.49,-0.57,7.46,60.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Production Total,neutral,5,7.57,6.86,18.73,40.00,2002/03 2004/05 2013/14 2014/15 2020/21
Brazil,Production Total,El Nino,5,-4.14,-5.29,-16.35,80.00,2003/04 2005/06 2007/08 2019/20 2024/25
Brazil,Production Total,El Nino fort,2,-3.38,-3.38,17.61,100.00,2010/11 2016/17
Brazil,Production Total,La Nina,8,-0.14,-0.57,6.00,62.50,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Production Total,La Nina forte,2,2.99,2.99,13.30,50.00,2008/09 2011/12
Brazil,Production Total,El Nino (|ONI| >= 1),4,-6.09,-5.55,-1.01,100.00,2003/04 2010/11 2016/17 2024/25
Brazil,Production Total,La Nina (|ONI| >= 1),7,1.42,0.30,9.75,42.86,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Brazil,Area total,El Nino,7,-0.26,-0.25,-0.48,71.43,2003/04 2005/06 2007/08 2010/11 2016/17 2019/20 2024/25
Brazil,Area total,La Nina,10,0.96,0.01,0.12,50.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Area total,neutral,5,-0.76,0.84,-1.16,40.00,2002/03 2004/05 2013/14 2014/15 2020/21
Brazil,Area total,El Nino,5,-0.40,-1.25,-0.79,80.00,2003/04 2005/06 2007/08 2019/20 2024/25
Brazil,Area total,El Nino fort,2,0.09,0.09,0.29,50.00,2010/11 2016/17
Brazil,Area total,La Nina,8,1.20,0.51,0.18,50.00,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Area total,La Nina forte,2,-0.02,-0.02,-0.12,50.00,2008/09 2011/12
Brazil,Area total,El Nino (|ONI| >= 1),4,0.27,0.09,-1.21,50.00,2003/04 2010/11 2016/17 2024/25
Brazil,Area total,La Nina (|ONI| >= 1),7,1.23,0.07,0.33,42.86,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Brazil,Area bearing,El Nino,7,1.16,0.49,1.93,42.86,2003/04 2005/06 2007/08 2010/11 2016/17 2019/20 2024/25
Brazil,Area bearing,La Nina,10,0.19,0.21,-1.07,40.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Area bearing,neutral,5,-1.45,-0.24,-1.61,60.00,2002/03 2004/05 2013/14 2014/15 2020/21
Brazil,Area bearing,El Nino,5,1.36,-0.37,2.48,60.00,2003/04 2005/06 2007/08 2019/20 2024/25
Brazil,Area bearing,El Nino fort,2,0.65,0.65,0.56,0.00,2010/11 2016/17
Brazil,Area bearing,La Nina,8,0.15,-0.70,-1.13,50.00,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Area bearing,La Nina forte,2,0.35,0.35,-0.84,0.00,2008/09 2011/12
Brazil,Area bearing,El Nino (|ONI| >= 1),4,1.84,0.65,2.87,25.00,2003/04 2010/11 2016/17 2024/25
Brazil,Area bearing,La Nina (|ONI| >= 1),7,0.39,0.29,-0.73,28.57,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Brazil,Yield (production / bearing area),El Nino,7,-4.55,-3.07,-7.23,85.71,2003/04 2005/06 2007/08 2010/11 2016/17 2019/20 2024/25
Brazil,Yield (production / bearing area),La Nina,10,0.07,-0.24,8.42,50.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Yield (production / bearing area),neutral,5,9.34,3.52,21.21,40.00,2002/03 2004/05 2013/14 2014/15 2020/21
Brazil,Yield (production / bearing area),El Nino,5,-4.76,-3.07,-16.89,80.00,2003/04 2005/06 2007/08 2019/20 2024/25
Brazil,Yield (production / bearing area),El Nino fort,2,-4.04,-4.04,16.94,100.00,2010/11 2016/17
Brazil,Yield (production / bearing area),La Nina,8,-0.51,-0.68,6.97,50.00,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Yield (production / bearing area),La Nina forte,2,2.38,2.38,14.19,50.00,2008/09 2011/12
Brazil,Yield (production / bearing area),El Nino (|ONI| >= 1),4,-7.17,-4.04,-1.72,100.00,2003/04 2010/11 2016/17 2024/25
Brazil,Yield (production / bearing area),La Nina (|ONI| >= 1),7,0.88,1.89,10.39,42.86,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Colombia,Production Arabica,El Nino,8,1.40,3.29,5.13,37.50,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Colombia,Production Arabica,La Nina,13,-1.34,-2.25,-3.33,61.54,1999/00 2000/01 2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia,Production Arabica,neutral,5,1.43,1.65,10.38,40.00,2001/02 2003/04 2012/13 2013/14 2019/20
Colombia,Production Arabica,El Nino,6,3.40,3.81,7.05,33.33,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Colombia,Production Arabica,El Nino fort,2,-4.59,-4.59,-0.62,50.00,2009/10 2015/16
Colombia,Production Arabica,La Nina,10,-3.17,-2.84,-4.34,60.00,2000/01 2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia,Production Arabica,La Nina forte,3,4.79,-0.72,0.05,66.67,1999/00 2007/08 2010/11
Colombia,Production Arabica,El Nino (|ONI| >= 1),4,-0.12,3.29,6.12,25.00,2002/03 2009/10 2015/16 2023/24
Colombia,Production Arabica,La Nina (|ONI| >= 1),8,-3.58,-4.81,-5.20,75.00,1999/00 2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Colombia,Area total,El Nino,8,-0.46,0.00,-0.55,37.50,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Colombia,Area total,La Nina,13,-0.00,0.00,-0.43,15.38,1999/00 2000/01 2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia,Area total,neutral,5,0.18,0.00,0.38,20.00,2001/02 2003/04 2012/13 2013/14 2019/20
Colombia,Area total,El Nino,6,-0.61,-0.63,-0.73,50.00,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Colombia,Area total,El Nino fort,2,0.00,0.00,0.00,0.00,2009/10 2015/16
Colombia,Area total,La Nina,10,-0.12,0.00,-0.17,20.00,2000/01 2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia,Area total,La Nina forte,3,0.39,0.00,-1.27,0.00,1999/00 2007/08 2010/11
Colombia,Area total,El Nino (|ONI| >= 1),4,-0.36,0.00,-0.93,25.00,2002/03 2009/10 2015/16 2023/24
Colombia,Area total,La Nina (|ONI| >= 1),8,0.15,0.00,-0.47,12.50,1999/00 2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Colombia,Area bearing,El Nino,8,-0.34,0.00,-0.58,25.00,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Colombia,Area bearing,La Nina,13,-0.19,0.00,-1.15,7.69,1999/00 2000/01 2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia,Area bearing,neutral,5,-0.35,0.00,0.00,40.00,2001/02 2003/04 2012/13 2013/14 2019/20
Colombia,Area bearing,El Nino,6,-0.46,0.00,-0.78,33.33,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Colombia,Area bearing,El Nino fort,2,0.00,0.00,0.00,0.00,2009/10 2015/16
Colombia,Area bearing,La Nina,10,-0.53,0.00,-0.59,10.00,2000/01 2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia,Area bearing,La Nina forte,3,0.94,0.00,-3.01,0.00,1999/00 2007/08 2010/11
Colombia,Area bearing,El Nino (|ONI| >= 1),4,-0.29,0.00,-0.77,25.00,2002/03 2009/10 2015/16 2023/24
Colombia,Area bearing,La Nina (|ONI| >= 1),8,0.35,0.00,-1.13,0.00,1999/00 2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Colombia,Yield,El Nino,8,1.84,3.29,5.73,25.00,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Colombia,Yield,La Nina,13,-1.37,-1.63,-2.89,61.54,1999/00 2000/01 2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia,Yield,neutral,5,1.14,0.30,10.00,40.00,2001/02 2003/04 2012/13 2013/14 2019/20
Colombia,Yield,El Nino,6,3.99,3.81,7.85,16.67,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Colombia,Yield,El Nino fort,2,-4.59,-4.59,-0.62,50.00,2009/10 2015/16
Colombia,Yield,La Nina,10,-3.10,-1.73,-4.13,60.00,2000/01 2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia,Yield,La Nina forte,3,4.40,-0.72,1.26,66.67,1999/00 2007/08 2010/11
Colombia,Yield,El Nino (|ONI| >= 1),4,0.23,3.29,7.15,25.00,2002/03 2009/10 2015/16 2023/24
Colombia,Yield,La Nina (|ONI| >= 1),8,-3.75,-4.51,-4.75,75.00,1999/00 2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Colombia (Fedecafe),Production Arabica,El Nino,5,-3.00,-3.56,2.25,80.00,2009/10 2014/15 2015/16 2018/19 2023/24
Colombia (Fedecafe),Production Arabica,La Nina,9,2.33,1.72,-1.23,22.22,2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia (Fedecafe),Production Arabica,neutral,3,-3.24,-8.36,3.20,66.67,2012/13 2013/14 2019/20
Colombia (Fedecafe),Production Arabica,El Nino,3,-5.80,-3.56,2.97,100.00,2014/15 2018/19 2023/24
Colombia (Fedecafe),Production Arabica,El Nino fort,2,1.19,1.19,1.16,50.00,2009/10 2015/16
Colombia (Fedecafe),Production Arabica,La Nina,8,1.23,1.04,-2.62,25.00,2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia (Fedecafe),Production Arabica,La Nina forte,1,11.13,11.13,9.92,0.00,2010/11
Colombia (Fedecafe),Production Arabica,El Nino (|ONI| >= 1),3,-3.04,-7.85,1.34,66.67,2009/10 2015/16 2023/24
Colombia (Fedecafe),Production Arabica,La Nina (|ONI| >= 1),6,-1.11,0.20,-5.62,33.33,2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Colombia (Fedecafe),Area total,El Nino,5,-0.49,-0.32,-1.24,80.00,2009/10 2014/15 2015/16 2018/19 2023/24
Colombia (Fedecafe),Area total,La Nina,9,-0.28,-0.12,0.05,55.56,2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia (Fedecafe),Area total,neutral,3,1.70,2.68,1.21,33.33,2012/13 2013/14 2019/20
Colombia (Fedecafe),Area total,El Nino,3,-0.48,-0.32,-2.04,100.00,2014/15 2018/19 2023/24
Colombia (Fedecafe),Area total,El Nino fort,2,-0.50,-0.50,-0.02,50.00,2009/10 2015/16
Colombia (Fedecafe),Area total,La Nina,8,-0.03,-0.06,-0.10,50.00,2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia (Fedecafe),Area total,La Nina forte,1,-2.29,-2.29,1.26,100.00,2010/11
Colombia (Fedecafe),Area total,El Nino (|ONI| >= 1),3,-0.34,-0.03,-0.17,66.67,2009/10 2015/16 2023/24
Colombia (Fedecafe),Area total,La Nina (|ONI| >= 1),6,-0.56,-0.28,0.11,50.00,2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Colombia (Fedecafe),Area bearing,El Nino,8,0.62,1.35,0.57,37.50,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Colombia (Fedecafe),Area bearing,La Nina,11,0.45,0.50,-1.30,45.45,2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia (Fedecafe),Area bearing,neutral,5,-1.19,-3.40,2.22,60.00,2001/02 2003/04 2012/13 2013/14 2019/20
Colombia (Fedecafe),Area bearing,El Nino,6,-0.34,0.19,-0.84,50.00,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Colombia (Fedecafe),Area bearing,El Nino fort,2,3.52,3.52,4.82,0.00,2009/10 2015/16
Colombia (Fedecafe),Area bearing,La Nina,9,0.54,0.50,-1.14,44.44,2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia (Fedecafe),Area bearing,La Nina forte,2,0.02,0.02,-2.00,50.00,2007/08 2010/11
Colombia (Fedecafe),Area bearing,El Nino (|ONI| >= 1),4,2.19,2.01,2.58,25.00,2002/03 2009/10 2015/16 2023/24
Colombia (Fedecafe),Area bearing,La Nina (|ONI| >= 1),7,-0.34,0.50,-1.59,42.86,2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Colombia (Fedecafe),Yield,El Nino,5,-4.74,-5.77,2.42,80.00,2009/10 2014/15 2015/16 2018/19 2023/24
Colombia (Fedecafe),Yield,La Nina,9,2.34,1.02,0.70,44.44,2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia (Fedecafe),Yield,neutral,3,-0.63,-4.79,1.73,66.67,2012/13 2013/14 2019/20
Colombia (Fedecafe),Yield,El Nino,3,-7.13,-5.77,3.38,100.00,2014/15 2018/19 2023/24
Colombia (Fedecafe),Yield,El Nino fort,2,-1.17,-1.17,0.96,50.00,2009/10 2015/16
Colombia (Fedecafe),Yield,La Nina,8,1.40,0.40,-0.64,50.00,2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Colombia (Fedecafe),Yield,La Nina forte,1,9.82,9.82,11.45,0.00,2010/11
Colombia (Fedecafe),Yield,El Nino (|ONI| >= 1),3,-5.46,-8.80,1.26,66.67,2009/10 2015/16 2023/24
Colombia (Fedecafe),Yield,La Nina (|ONI| >= 1),6,-1.02,-0.37,-4.22,66.67,2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Honduras,Production Arabica,El Nino,8,-5.55,-6.52,1.11,75.00,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Honduras,Production Arabica,La Nina,11,6.28,5.80,12.60,36.36,2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Honduras,Production Arabica,neutral,5,-8.11,-6.63,-10.60,80.00,2001/02 2003/04 2012/13 2013/14 2019/20
Honduras,Production Arabica,El Nino,6,-2.69,-4.05,-0.05,66.67,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Honduras,Production Arabica,El Nino fort,2,-14.13,-14.13,4.58,100.00,2009/10 2015/16
Honduras,Production Arabica,La Nina,9,7.75,5.80,13.49,33.33,2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Honduras,Production Arabica,La Nina forte,2,-0.30,-0.30,8.62,50.00,2007/08 2010/11
Honduras,Production Arabica,El Nino (|ONI| >= 1),4,-9.09,-9.95,0.03,100.00,2002/03 2009/10 2015/16 2023/24
Honduras,Production Arabica,La Nina (|ONI| >= 1),7,8.62,7.22,10.99,28.57,2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Honduras,Area total,El Nino,8,-2.29,-1.37,-0.32,62.50,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Honduras,Area total,La Nina,11,1.10,-0.31,3.37,54.55,2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Honduras,Area total,neutral,5,0.59,-3.50,-2.25,60.00,2001/02 2003/04 2012/13 2013/14 2019/20
Honduras,Area total,El Nino,6,-1.78,-0.56,-1.00,50.00,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Honduras,Area total,El Nino fort,2,-3.80,-3.80,1.71,100.00,2009/10 2015/16
Honduras,Area total,La Nina,9,1.66,1.02,3.12,44.44,2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Honduras,Area total,La Nina forte,2,-1.46,-1.46,4.51,100.00,2007/08 2010/11
Honduras,Area total,El Nino (|ONI| >= 1),4,-3.53,-3.80,-1.53,75.00,2002/03 2009/10 2015/16 2023/24
Honduras,Area total,La Nina (|ONI| >= 1),7,0.72,-0.72,3.35,71.43,2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Honduras,Area bearing,El Nino,8,-2.60,-5.04,2.66,75.00,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Honduras,Area bearing,La Nina,11,0.99,0.00,3.45,45.45,2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Honduras,Area bearing,neutral,5,0.39,-4.04,-4.67,60.00,2001/02 2003/04 2012/13 2013/14 2019/20
Honduras,Area bearing,El Nino,6,-1.79,-3.03,2.60,66.67,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Honduras,Area bearing,El Nino fort,2,-5.04,-5.04,2.86,100.00,2009/10 2015/16
Honduras,Area bearing,La Nina,9,0.55,0.00,3.52,44.44,2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Honduras,Area bearing,La Nina forte,2,2.95,2.95,3.12,50.00,2007/08 2010/11
Honduras,Area bearing,El Nino (|ONI| >= 1),4,-4.93,-5.04,-1.56,100.00,2002/03 2009/10 2015/16 2023/24
Honduras,Area bearing,La Nina (|ONI| >= 1),7,2.40,0.00,3.01,42.86,2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Honduras,Yield,El Nino,8,-2.80,-4.65,-0.81,62.50,2002/03 2004/05 2006/07 2009/10 2014/15 2015/16 2018/19 2023/24
Honduras,Yield,La Nina,11,5.26,5.41,8.66,45.45,2005/06 2007/08 2008/09 2010/11 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Honduras,Yield,neutral,5,-8.34,-14.19,-5.14,80.00,2001/02 2003/04 2012/13 2013/14 2019/20
Honduras,Yield,El Nino,6,-0.82,-0.21,-1.67,50.00,2002/03 2004/05 2006/07 2014/15 2018/19 2023/24
Honduras,Yield,El Nino fort,2,-8.74,-8.74,1.77,100.00,2009/10 2015/16
Honduras,Yield,La Nina,9,7.15,9.70,9.41,33.33,2005/06 2008/09 2011/12 2016/17 2017/18 2020/21 2021/22 2022/23 2024/25
Honduras,Yield,La Nina forte,2,-3.27,-3.27,5.32,100.00,2007/08 2010/11
Honduras,Yield,El Nino (|ONI| >= 1),4,-4.01,-6.67,2.40,75.00,2002/03 2009/10 2015/16 2023/24
Honduras,Yield,La Nina (|ONI| >= 1),7,5.89,5.41,7.73,42.86,2007/08 2010/11 2011/12 2017/18 2020/21 2021/22 2022/23
Indonesia,Production Robusta,El Nino,7,1.36,0.80,7.10,42.86,2005/06 2007/08 2010/11 2015/16 2016/17 2019/20 2024/25
Indonesia,Production Robusta,La Nina,10,-1.34,2.98,0.61,40.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Production Robusta,neutral,3,0.44,-0.13,-2.51,66.67,2013/14 2014/15 2020/21
Indonesia,Production Robusta,El Nino,5,4.25,2.20,14.72,20.00,2005/06 2007/08 2015/16 2019/20 2024/25
Indonesia,Production Robusta,El Nino fort,2,-5.86,-5.86,-11.97,100.00,2010/11 2016/17
Indonesia,Production Robusta,La Nina,8,-0.32,2.98,-0.35,37.50,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Production Robusta,La Nina forte,2,-5.42,-5.42,4.44,50.00,2008/09 2011/12
Indonesia,Production Robusta,El Nino (|ONI| >= 1),3,-3.17,-3.63,4.28,66.67,2010/11 2016/17 2024/25
Indonesia,Production Robusta,La Nina (|ONI| >= 1),7,-1.45,5.83,3.28,28.57,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Indonesia,Production Arabica,El Nino,7,-0.85,4.63,-1.28,28.57,2005/06 2007/08 2010/11 2015/16 2016/17 2019/20 2024/25
Indonesia,Production Arabica,La Nina,10,2.02,1.42,12.79,40.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Production Arabica,neutral,3,2.17,5.48,-11.39,33.33,2013/14 2014/15 2020/21
Indonesia,Production Arabica,El Nino,5,-0.15,7.14,2.54,20.00,2005/06 2007/08 2015/16 2019/20 2024/25
Indonesia,Production Arabica,El Nino fort,2,-2.60,-2.60,-10.83,50.00,2010/11 2016/17
Indonesia,Production Arabica,La Nina,8,4.18,1.42,8.86,37.50,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Production Arabica,La Nina forte,2,-6.60,-6.60,28.52,50.00,2008/09 2011/12
Indonesia,Production Arabica,El Nino (|ONI| >= 1),3,0.64,4.63,-5.99,33.33,2010/11 2016/17 2024/25
Indonesia,Production Arabica,La Nina (|ONI| >= 1),7,2.28,0.39,19.37,42.86,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Indonesia,Production Total,El Nino,7,1.05,1.23,5.80,42.86,2005/06 2007/08 2010/11 2015/16 2016/17 2019/20 2024/25
Indonesia,Production Total,La Nina,10,-0.91,2.57,1.96,40.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Production Total,neutral,3,0.62,0.52,-4.01,33.33,2013/14 2014/15 2020/21
Indonesia,Production Total,El Nino,5,3.68,2.82,12.84,20.00,2005/06 2007/08 2015/16 2019/20 2024/25
Indonesia,Production Total,El Nino fort,2,-5.52,-5.52,-11.79,100.00,2010/11 2016/17
Indonesia,Production Total,La Nina,8,0.25,2.57,0.69,37.50,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Production Total,La Nina forte,2,-5.57,-5.57,7.00,50.00,2008/09 2011/12
Indonesia,Production Total,El Nino (|ONI| >= 1),3,-2.74,-2.69,2.57,66.67,2010/11 2016/17 2024/25
Indonesia,Production Total,La Nina (|ONI| >= 1),7,-0.97,5.14,5.07,28.57,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Indonesia,Area bearing,El Nino,7,-1.25,0.00,-1.17,28.57,2005/06 2007/08 2010/11 2015/16 2016/17 2019/20 2024/25
Indonesia,Area bearing,La Nina,10,-0.03,0.00,3.67,30.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Area bearing,neutral,3,0.63,0.42,0.56,0.00,2013/14 2014/15 2020/21
Indonesia,Area bearing,El Nino,5,-2.55,0.00,-1.05,40.00,2005/06 2007/08 2015/16 2019/20 2024/25
Indonesia,Area bearing,El Nino fort,2,2.01,2.01,-1.46,0.00,2010/11 2016/17
Indonesia,Area bearing,La Nina,8,1.58,0.00,4.75,12.50,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Area bearing,La Nina forte,2,-6.45,-6.45,-0.64,100.00,2008/09 2011/12
Indonesia,Area bearing,El Nino (|ONI| >= 1),3,1.34,0.00,-0.97,0.00,2010/11 2016/17 2024/25
Indonesia,Area bearing,La Nina (|ONI| >= 1),7,-1.83,0.00,0.19,28.57,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Indonesia,Area total,El Nino,7,-1.27,0.00,-0.66,42.86,2005/06 2007/08 2010/11 2015/16 2016/17 2019/20 2024/25
Indonesia,Area total,La Nina,10,0.62,0.00,2.72,30.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Area total,neutral,3,0.25,0.23,0.33,0.00,2013/14 2014/15 2020/21
Indonesia,Area total,El Nino,5,-2.02,0.00,-0.36,40.00,2005/06 2007/08 2015/16 2019/20 2024/25
Indonesia,Area total,El Nino fort,2,0.62,0.62,-1.40,50.00,2010/11 2016/17
Indonesia,Area total,La Nina,8,1.43,0.05,3.56,12.50,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Indonesia,Area total,La Nina forte,2,-2.62,-2.62,-0.62,100.00,2008/09 2011/12
Indonesia,Area total,El Nino (|ONI| >= 1),3,0.41,0.00,-0.93,33.33,2010/11 2016/17 2024/25
