date,tmean_c,tmean_n,tmax_c,tmax_flag,tmin_c,tmin_flag,prcp_mm,prcp_flag
1989-08-16,20.83,11,24.0,,12.5,,3.0,G
1989-08-17,21.33,10,24.22,,12.22,,1.0,G
1989-08-18,20.72,8,24.0,*,12.22,,0.3,G
1989-08-19,20.94,7,27.0,*,14.72,,6.9,G
1989-08-20,19.5,9,24.0,,12.5,,18.8,G
1989-08-21,19.0,9,23.28,,12.0,,43.2,G
1989-08-22,19.22,11,24.0,*,12.0,,29.2,G
1989-08-23,20.83,11,24.61,,12.5,,0.3,G
1989-08-24,19.72,8,24.39,,12.61,,8.4,G
1989-08-25,18.67,5,23.39,,13.5,,9.9,G
1989-08-26,18.5,4,21.0,*,16.0,*,0.0,G
1989-08-29,19.89,12,29.5,,10.5,,8.1,G
1989-08-30,18.78,11,24.5,,12.39,,19.6,G
1989-08-31,18.72,7,23.0,,12.78,,9.9,G
1989-09-01,19.06,11,22.39,,12.78,,26.4,G
1989-09-02,19.72,8,22.5,,14.5,,0.5,G
1989-09-03,19.5,12,22.72,,14.72,,5.6,G
1989-09-04,20.22,9,22.78,,14.72,,0.5,G
1989-09-05,19.61,10,23.0,,14.11,,9.9,G
1989-09-06,18.44,8,23.28,,14.11,,0.0,B
1989-09-07,18.72,11,23.22,,10.0,,0.0,G
1989-09-08,19.39,12,23.22,,10.0,,3.8,G
1989-09-09,20.67,12,24.0,,14.78,,0.0,H
1989-09-10,18.72,9,24.89,,13.5,,35.8,G
1989-09-11,20.0,9,23.5,,13.0,,1.5,G
1989-09-13,22.72,5,28.78,*,14.22,,0.0,A
1989-09-14,20.11,12,23.5,,14.22,,0.0,G
1989-09-15,19.83,8,23.39,,15.5,,0.8,G
1989-09-16,18.0,7,20.0,*,16.0,*,0.0,G
1989-09-17,18.39,6,22.0,*,14.78,*,20.3,G
1989-09-18,18.39,11,24.0,,14.0,*,17.0,G
1989-09-19,18.83,11,23.0,,14.0,*,2.0,G
1989-09-20,19.56,11,23.5,,14.22,,0.0,G
1989-09-21,19.28,10,23.5,,14.0,,9.4,G
1989-09-22,19.28,10,23.0,*,14.0,,1.5,G
1989-09-23,17.78,8,26.0,*,15.5,,4.3,G
1989-09-24,18.44,9,27.0,*,15.0,*,72.4,G
1989-09-25,19.44,9,23.39,,11.0,*,2.0,G
1989-09-26,19.28,8,23.78,,15.0,*,0.0,G
1989-09-27,18.94,6,20.0,*,18.0,*,0.0,I
1989-09-28,18.44,10,22.0,*,15.0,*,0.0,G
1989-09-29,19.56,9,22.0,,15.22,,1.3,G
1989-09-30,17.94,10,22.5,,15.0,*,14.7,G
1989-10-01,16.94,9,22.61,,12.78,,20.3,G
1989-10-02,20.94,9,22.61,,12.78,,0.0,G
1989-10-03,20.56,11,23.5,,12.5,,1.0,G
1989-10-04,19.39,8,24.22,,12.5,,1.0,G
1989-10-05,18.72,10,23.5,,13.5,,3.3,G
1989-10-06,18.39,7,23.0,,11.72,,34.3,G
1989-10-07,18.83,13,23.5,,11.78,,3.6,G
1989-10-08,19.5,11,23.0,*,15.0,,0.0,G
1989-10-09,20.06,9,23.72,,15.0,,20.6,G
1989-10-10,19.28,11,28.22,*,13.0,*,7.4,G
1989-10-11,19.33,11,23.0,,13.39,,6.1,G
1989-10-12,19.72,12,25.0,*,12.78,,8.4,G
1989-10-13,18.17,10,22.78,,12.39,,0.0,G
1989-10-14,17.83,11,22.5,,13.39,,0.0,H
1989-10-15,18.11,10,22.22,,13.0,,1.5,G
1989-10-16,19.11,9,22.0,*,11.5,,5.6,G
1989-10-17,19.61,9,23.0,*,11.39,,0.0,G
1989-10-18,16.44,6,23.0,,8.5,,0.0,G
1989-10-19,19.33,5,21.11,*,8.0,,0.0,A
1989-10-20,16.44,12,22.61,,8.0,,4.3,G
1989-10-21,11.94,11,19.0,,11.0,*,0.3,G
1989-10-22,14.94,9,17.0,*,11.0,,0.0,G
1989-10-23,14.44,10,17.78,,11.0,,0.0,G
1989-10-24,14.5,6,16.0,*,12.0,,0.5,G
1989-10-25,15.11,11,17.22,,12.78,,0.0,G
1989-10-26,16.61,10,19.0,,13.0,,0.0,G
1989-10-27,17.28,9,20.0,*,11.0,*,0.0,G
1989-10-28,17.22,5,20.0,*,14.0,*,,
1989-10-29,19.22,10,21.0,*,15.0,*,0.0,I
1989-10-30,18.44,7,20.28,*,14.0,*,0.0,I
1989-10-31,17.33,10,21.0,*,10.0,*,0.0,G
1989-11-01,17.78,9,21.22,,10.78,,87.9,G
1989-11-02,16.44,9,20.5,,10.78,,0.0,G
1989-11-03,16.39,5,17.0,*,16.0,*,0.0,I
1989-11-04,17.5,10,19.0,,13.5,,0.0,G
1989-11-05,18.22,9,20.22,,15.39,,0.0,G
1989-11-06,19.22,9,22.0,,15.61,,,
1989-11-07,20.78,8,23.0,,15.61,,0.5,G
1989-11-08,18.67,5,23.28,,8.78,,0.0,G
1989-11-09,19.61,10,24.0,,8.78,,1.0,G
1989-11-10,20.39,10,28.39,*,12.0,,0.0,G
1989-11-11,18.11,10,23.39,,9.39,,0.0,A
1989-11-12,18.28,8,21.5,,14.0,,0.0,G
1989-11-13,18.06,10,20.0,,14.5,,,
1989-11-14,18.89,8,21.78,,14.5,,15.0,G
1989-11-15,18.89,7,22.39,*,14.0,,0.0,G
1989-11-16,18.67,11,23.0,,11.5,,0.0,B
1989-11-17,18.89,11,22.0,,11.22,,0.0,G
1989-11-18,19.17,9,22.0,,11.22,,0.0,G
1989-11-19,18.5,13,22.0,,13.0,,0.0,G
1989-11-20,17.22,12,19.22,*,15.0,,0.3,A
1989-11-21,17.83,12,21.22,*,15.0,,0.0,A
1989-11-22,18.72,7,23.0,*,13.0,,0.3,A
1989-11-23,19.5,11,23.5,,13.0,*,1.0,G
1989-11-24,18.33,11,24.0,,13.61,,0.3,G
1989-11-25,18.28,8,22.0,,13.61,,0.0,G
1989-11-26,19.11,10,22.39,,10.22,,0.0,G
1989-11-27,18.61,8,22.61,,14.5,,0.0,H
1989-11-28,18.83,9,23.39,,12.22,,1.0,G
1989-11-29,17.83,9,23.5,,12.22,,0.5,G
1989-11-30,17.72,10,21.0,,13.78,,0.3,G
1989-12-01,15.89,7,21.0,,13.78,,0.3,G
1989-12-02,15.67,11,18.0,,10.78,,0.0,G
1989-12-03,15.28,10,18.0,*,10.78,,0.0,G
1989-12-04,14.33,10,17.78,,13.28,,0.0,G
1989-12-05,15.17,11,16.39,,13.0,,2.0,G
1989-12-06,16.89,10,19.0,*,12.78,,0.0,G
1989-12-07,18.5,11,27.78,*,11.39,,0.0,G
1989-12-08,19.28,12,23.39,,12.78,,4.3,G
1989-12-09,14.44,9,23.11,,12.0,*,0.3,G
1989-12-10,13.5,10,17.22,,11.0,,0.0,G
1989-12-11,18.5,13,24.22,*,6.39,,0.0,G
1989-12-12,19.67,12,26.0,,6.39,,0.0,G
1989-12-13,17.33,8,25.39,,10.39,,0.0,G
1989-12-14,16.5,8,20.61,,10.78,,0.0,G
1989-12-15,18.56,11,22.0,*,11.0,,0.0,A
1989-12-16,17.11,12,23.0,,5.22,,0.0,B
1989-12-17,18.0,11,22.39,,5.39,,0.0,G
1989-12-18,16.72,10,23.0,*,5.39,,0.0,B
1989-12-19,19.67,12,24.0,,5.39,,0.0,G
1989-12-20,19.06,7,24.0,,8.39,,0.0,G
1989-12-21,19.11,9,21.0,*,11.61,,0.0,A
1989-12-22,17.06,9,22.0,,5.5,,0.0,G
1989-12-23,14.83,12,22.0,,5.5,,0.0,G
1989-12-24,8.06,7,11.61,,6.39,,,
1989-12-26,6.78,5,10.0,*,5.0,*,0.0,A
1989-12-27,13.39,8,17.0,*,5.0,,0.0,C
1989-12-28,16.78,12,21.78,*,7.22,,0.0,G
1989-12-29,16.33,7,22.0,,6.5,,0.0,G
1989-12-30,17.17,12,22.0,,6.5,,0.0,G
1989-12-31,17.33,12,23.0,,7.0,,0.0,G
1990-01-01,16.06,11,20.0,*,5.39,,0.0,B
1990-01-02,16.22,12,20.5,,5.39,,0.0,G
1990-01-03,17.67,12,21.0,*,10.22,,0.0,G
1990-01-04,18.5,11,22.0,*,10.22,,0.0,G
1990-01-05,18.28,12,22.0,,11.0,,0.0,G
1990-01-06,17.5,12,23.0,,5.78,,0.0,G
1990-01-07,18.33,12,23.0,,5.78,,0.0,G
1990-01-08,17.17,11,22.5,,11.61,,0.0,G
1990-01-09,17.72,12,21.61,,9.22,,0.0,G
1990-01-10,16.06,7,20.39,,9.22,,0.0,G
1990-01-11,16.17,10,20.22,,12.0,*,0.0,G
1990-01-12,15.44,12,20.0,,12.0,*,0.0,G
1990-01-13,15.17,8,17.5,,12.78,,0.0,G
1990-01-14,15.72,13,19.0,*,11.5,,0.3,G
1990-01-15,16.72,10,19.61,*,12.61,,0.0,G
1990-01-16,17.28,12,20.0,,12.61,,0.3,G
1990-01-17,17.5,11,22.0,,12.72,,0.3,G
1990-01-18,17.56,11,21.11,*,10.22,,0.0,G
1990-01-19,19.33,10,22.22,,11.39,,0.0,G
1990-01-20,19.17,11,23.0,*,8.72,,0.0,G
1990-01-21,19.06,9,23.22,,8.72,,0.0,G
1990-01-22,18.22,12,22.5,,13.5,,0.0,G
1990-01-23,17.22,11,21.0,,12.0,*,0.0,G
1990-01-24,17.5,11,22.11,*,8.0,,0.0,G
1990-01-25,15.67,10,23.0,,4.39,,0.0,G
1990-01-26,15.44,10,18.0,*,12.39,,0.0,A
1990-01-27,16.72,13,19.0,,12.39,,0.0,G
1990-01-28,17.67,10,20.0,*,13.22,,0.0,G
1990-01-29,18.44,11,22.0,*,12.5,,0.0,G
1990-01-30,17.72,10,21.78,,12.5,,0.0,G
1990-01-31,18.17,10,22.28,,14.0,,0.0,G
1990-02-01,19.44,13,24.39,*,13.0,,0.0,G
1990-02-02,20.56,9,25.0,*,8.22,,0.0,G
1990-02-03,19.94,10,26.0,*,8.22,,0.0,B
1990-02-04,17.39,11,27.0,,10.39,,0.0,G
1990-02-05,17.0,11,20.39,,11.0,,1.3,G
1990-02-06,18.67,12,22.0,*,12.5,,1.0,G
1990-02-07,16.78,8,20.0,*,13.0,*,0.0,G
1990-02-08,18.11,9,20.39,,12.0,,0.0,A
1990-02-09,19.0,12,24.0,*,10.61,,0.0,C
1990-02-10,18.44,9,25.39,,7.78,,0.0,G
1990-02-11,18.0,8,24.39,,7.78,,0.0,G
1990-02-12,17.89,11,20.72,,12.78,,0.0,G
1990-02-13,19.11,9,23.0,*,12.61,,0.0,A
1990-02-14,17.78,8,23.0,*,4.78,,0.0,A
1990-02-15,22.06,11,26.0,*,10.0,*,0.0,G
1990-02-16,21.89,11,27.0,*,,,0.0,G
1990-02-17,20.61,10,27.0,,15.0,*,0.0,G
1990-02-18,19.72,10,23.78,,15.0,*,0.0,G
1990-02-19,18.44,12,23.0,*,,,0.0,G
1990-02-20,17.94,10,24.22,,6.0,,0.0,B
1990-02-21,18.22,12,24.0,*,6.78,,0.0,G
1990-02-22,20.67,8,25.0,*,7.11,,0.0,G
1990-02-23,19.56,11,25.5,,7.0,,0.0,G
1990-02-24,12.17,11,24.39,,7.0,,0.0,G
1990-02-25,10.28,9,14.5,,8.61,,0.0,B
1990-02-26,11.61,10,14.5,,8.61,,0.0,G
1990-02-27,13.83,12,15.78,,9.78,,0.0,G
1990-02-28,14.5,12,18.0,*,12.0,*,1.0,G
1990-03-01,16.5,7,20.0,*,11.89,,0.0,G
1990-03-02,18.06,14,22.0,*,10.78,,0.5,G
1990-03-03,19.39,9,23.5,,10.78,,1.8,G
1990-03-05,21.28,6,23.72,*,13.28,,0.0,G
1990-03-06,19.94,11,23.0,*,13.72,,0.0,A
1990-03-07,19.61,11,24.0,*,10.61,,0.0,G
1990-03-08,19.67,8,24.39,,10.61,,0.0,G
1990-03-09,18.67,12,22.61,,12.0,,0.0,G
1990-03-10,19.61,13,24.39,*,9.89,,0.0,G
1990-03-11,20.39,9,25.0,*,12.0,*,0.0,A
1990-03-12,20.5,12,26.22,,11.78,,0.0,G
1990-03-13,19.67,12,23.78,,11.78,,0.0,G
1990-03-14,22.61,11,26.0,*,10.0,,0.0,G
1990-03-15,20.0,9,26.78,,8.5,,0.0,G
1990-03-16,20.72,13,28.0,*,4.61,,0.0,G
1990-03-17,21.11,9,28.5,,4.61,,0.0,G
1990-03-18,14.61,9,20.0,*,13.0,*,,
1990-03-19,18.28,10,22.61,*,12.39,,1.3,G
1990-03-20,16.61,10,23.78,,11.39,,0.5,G
1990-03-21,13.56,11,16.0,*,12.0,*,0.0,G
1990-03-22,14.06,9,17.72,,10.78,,0.5,G
1990-03-23,16.61,7,18.61,,10.78,,0.0,G
1990-03-24,17.61,10,21.28,*,12.61,,0.0,G
1990-03-25,18.5,9,22.22,*,14.0,*,0.0,B
1990-03-26,19.94,9,23.0,*,14.0,,0.0,A
1990-03-27,17.22,11,23.61,,13.61,,0.0,G
1990-03-28,20.67,10,27.0,*,13.0,,1.5,G
1990-03-29,19.17,11,24.61,,7.61,,0.0,G
1990-03-30,21.56,11,25.0,,7.61,,0.0,G
1990-03-31,19.39,9,25.22,,9.22,,0.0,G
1990-04-01,22.17,13,27.0,*,9.0,,0.0,B
1990-04-02,21.11,12,26.0,*,12.11,,0.0,G
1990-04-03,21.61,11,28.0,,9.0,*,0.0,G
1990-04-04,21.72,13,27.0,,9.28,,0.0,G
1990-04-05,23.11,10,26.11,*,11.0,,0.0,G
1990-04-06,22.11,10,27.0,,11.22,,0.0,G
1990-04-07,19.67,11,26.78,,12.0,,2.8,G
1990-04-08,22.5,12,,,12.0,,0.0,G
1990-04-09,20.0,13,24.39,,13.0,*,0.0,G
1990-04-10,21.61,10,31.0,*,14.39,,0.0,A
1990-04-11,22.44,11,26.39,,13.0,*,0.0,G
1990-04-12,20.78,11,24.22,*,15.61,,0.0,A
1990-04-13,22.06,9,24.39,,15.22,,0.0,G
1990-04-14,21.11,9,25.22,,15.22,,0.0,G
1990-04-15,21.11,10,25.78,,15.22,,0.0,G
1990-04-16,20.61,10,25.0,,12.5,,0.0,G
1990-04-17,20.17,12,25.61,,11.0,,0.0,G
1990-04-18,20.33,11,25.78,,11.0,,0.0,G
1990-04-19,17.56,13,24.5,,13.0,*,0.0,G
1990-04-20,18.33,10,22.0,*,13.39,,0.0,G
1990-04-21,18.78,12,23.0,,13.39,,0.0,G
1990-04-22,20.72,9,23.11,*,11.39,,0.0,G
1990-04-23,20.83,10,24.28,,11.39,,0.0,G
1990-04-24,19.44,10,24.39,,11.0,,0.0,H
1990-04-25,19.56,12,23.72,,11.0,,9.1,G
1990-04-26,20.11,9,23.78,,15.5,,20.6,G
1990-05-12,21.78,9,24.78,,12.22,,0.0,B
1990-05-13,21.0,10,26.0,*,9.0,,0.0,A
1990-05-14,20.89,10,26.39,,8.5,,0.0,B
1990-05-15,21.06,10,26.22,,10.5,,0.0,B
1990-05-16,21.06,9,25.78,,10.5,,0.0,G
1990-05-17,20.78,8,25.78,,11.0,,0.3,G
1990-05-18,19.78,11,25.78,,10.5,,0.0,G
1990-05-19,19.78,10,23.22,,11.61,,11.7,G
1990-05-20,19.72,13,26.0,*,11.61,,31.0,G
1990-05-21,21.61,11,27.0,*,11.61,,34.5,G
1990-05-22,19.89,11,27.5,,11.61,,10.4,G
1990-05-23,18.5,11,24.22,,13.78,,26.4,G
1990-05-24,20.11,10,23.0,*,14.0,,46.7,G
1990-05-25,19.61,5,23.22,,15.22,,9.7,G
1990-05-29,19.56,6,23.0,*,13.22,,0.0,G
1990-05-30,20.72,10,23.5,,13.22,,0.0,G
1990-05-31,22.28,8,23.78,*,14.0,,0.0,G
1990-06-01,20.89,9,24.0,,14.0,,1.0,A
1990-06-02,20.17,8,23.78,,12.0,,42.9,G
1990-06-03,18.61,9,23.22,,13.22,,0.0,G
1990-06-04,19.94,10,22.0,,13.22,,3.0,G
1990-06-05,19.0,11,22.0,*,14.0,*,0.0,G
1990-06-06,19.28,8,23.0,*,14.39,,19.3,G
1990-06-07,18.5,7,23.5,,15.22,,0.0,G
1990-06-08,20.28,9,24.0,*,15.0,,17.0,A
1990-06-09,20.39,11,24.0,,15.61,,0.0,I
1990-06-10,18.72,8,23.78,,14.61,,2.8,G
1990-06-11,20.56,12,23.0,*,13.61,,0.3,G
1990-06-12,19.39,7,24.22,,13.61,,0.5,G
1990-06-13,20.94,10,23.0,*,14.0,,47.5,G
1990-06-14,19.22,8,23.78,,14.61,,0.0,G
1990-06-15,21.5,6,24.0,*,14.61,,2.0,G
1990-06-17,19.94,6,23.78,,12.39,,0.0,G
1990-06-18,20.89,6,23.61,,11.5,,0.5,G
1990-06-19,20.5,7,22.78,,15.0,,31.8,G
1990-06-20,19.39,7,23.78,,15.39,,0.3,G
1990-06-21,19.83,12,23.61,,15.0,,13.7,G
1990-06-22,19.72,12,24.11,,15.0,,4.3,G
1990-06-23,20.78,10,23.61,,13.0,,9.4,G
1990-06-24,20.22,8,24.22,,13.0,,10.4,G
1990-06-25,20.39,11,23.0,*,13.78,,0.0,G
1990-06-26,20.61,12,23.61,,14.61,,0.0,G
1990-06-27,19.78,12,23.5,,14.61,,0.0,G
1990-06-28,19.78,10,22.39,,12.0,,2.8,G
1990-06-29,19.06,11,22.5,,12.0,,0.5,G
1990-06-30,19.28,10,22.0,*,13.72,,2.3,G
1990-07-01,20.72,10,23.0,*,13.72,,1.8,G
1990-07-02,20.39,10,23.5,,13.72,,7.4,G
1990-07-03,19.17,11,23.39,,12.61,,0.0,G
1990-07-04,17.89,10,23.0,,12.61,,1.0,G
1990-07-05,19.89,9,22.0,*,13.78,,30.0,G
1990-07-06,19.0,12,22.61,,13.28,,7.9,G
1990-07-07,19.67,9,22.78,*,11.0,*,0.0,G
1990-07-08,18.61,7,20.39,,13.5,,0.0,A
1990-07-09,17.78,8,21.28,,12.5,,1.0,G
1990-07-10,19.78,9,22.39,,12.5,,37.6,G
1990-07-11,19.89,11,22.11,*,14.0,,1.3,G
1990-07-12,19.78,11,23.22,*,11.5,,0.0,G
1990-07-13,19.5,10,24.0,,11.78,,21.1,G
1990-07-14,20.83,8,23.5,,14.5,,1.0,G
1990-07-16,19.61,7,22.5,,14.0,,0.0,I
1990-07-17,18.72,12,22.61,,14.0,,1.0,G
1990-07-18,18.67,8,21.11,*,13.5,,0.0,G
1990-07-19,19.11,12,22.0,,13.5,,0.3,G
1990-07-20,19.67,9,27.72,,13.11,,1.0,G
1990-07-21,19.44,8,22.39,,13.11,,0.0,G
1990-07-22,19.78,6,21.0,*,18.61,*,0.0,I
1990-07-23,19.56,13,22.5,,12.22,,0.3,G
1990-07-24,18.5,11,22.61,,14.0,*,0.8,G
1990-07-25,18.28,10,21.0,,13.0,,0.0,G
1990-07-26,19.06,13,21.72,*,13.5,,0.0,G
1990-07-27,20.72,10,22.61,*,14.39,,2.0,B
1990-07-28,20.56,9,23.39,,12.5,,4.1,A
1990-07-29,20.56,9,24.0,,12.5,,0.0,I
1990-07-30,20.44,10,24.5,,14.22,,9.9,A
1990-07-31,20.67,8,24.0,,14.22,,0.0,I
1990-08-01,18.22,7,23.61,,11.0,,0.0,B
1990-08-02,20.06,11,23.0,,11.5,,0.0,G
1990-08-03,19.5,12,22.61,,13.0,,6.6,G
1990-08-04,20.28,6,22.0,,13.0,,0.0,G
1990-08-05,18.94,9,23.0,*,10.5,,0.0,G
1990-08-06,19.78,11,24.0,*,10.5,,7.1,G
1990-08-07,20.22,8,24.39,,11.61,,1.5,G
1990-08-08,20.22,9,23.28,*,10.5,,0.0,G
1990-08-09,19.28,5,22.0,*,16.0,*,0.0,I
1990-08-10,21.83,5,23.0,*,20.22,*,0.0,I
1990-08-11,19.5,9,23.5,,15.89,,0.0,G
1990-08-12,20.17,10,23.28,*,15.11,,0.0,G
1990-08-13,18.44,8,23.5,,13.11,,2.8,G
1990-08-14,19.5,9,23.0,,14.72,,7.6,G
1990-08-15,19.0,5,22.5,,14.72,,0.0,G
1990-08-16,19.28,9,23.28,,13.61,,1.8,G
1990-08-17,19.11,11,23.0,,13.5,,2.0,G
1990-08-18,18.33,9,21.39,,13.89,,1.0,G
1990-08-19,18.78,11,22.39,,13.11,,1.3,G
1990-08-22,18.0,8,19.72,,15.22,,0.0,G
1990-08-23,18.61,11,22.39,*,12.0,,0.0,G
1990-08-24,19.67,9,23.5,*,12.0,,0.0,G
1990-08-25,19.94,10,24.0,,14.22,,1.5,G
1990-08-26,20.39,10,24.0,*,13.78,,7.6,G
1990-08-27,20.5,10,23.78,,13.78,,0.0,G
1990-08-28,20.78,10,23.78,,14.61,,0.3,G
1990-08-29,19.72,9,23.39,,14.61,,2.3,G
1990-08-30,17.89,13,23.22,,14.0,,1.8,G
1990-08-31,17.78,12,23.22,,13.78,,45.2,G
1990-09-01,19.94,7,24.0,,12.78,,29.2,G
1990-09-02,18.83,8,24.0,,12.39,,8.4,G
1990-09-03,19.89,12,23.78,,11.78,,0.0,G
1990-09-04,19.5,8,23.0,,12.22,,2.8,G
1990-09-05,19.89,10,22.28,,12.61,,3.3,G
1990-09-06,18.83,12,23.0,,15.0,,0.0,G
1990-09-07,18.78,10,22.0,*,14.78,,7.6,G
1990-09-08,19.89,12,24.0,*,14.0,*,2.5,G
1990-09-09,20.28,10,24.5,,9.22,,1.3,G
1990-09-10,19.22,10,24.0,*,11.28,,0.0,G
1990-09-11,19.89,10,24.22,,11.0,,13.2,G
1990-09-12,21.11,10,25.0,*,14.11,,0.3,G
1990-09-13,17.28,7,24.61,,11.61,,0.0,G
1990-09-17,20.67,7,21.39,,12.0,,0.0,I
1990-09-18,19.72,8,22.39,*,15.0,,0.0,I
1990-09-19,18.78,8,23.22,,13.0,,0.0,I
1990-09-20,20.5,9,22.39,,12.78,,2.8,G
1990-09-21,19.5,8,23.39,,12.78,,10.9,G
1990-09-22,21.78,5,22.0,*,21.0,*,0.0,G
1990-09-23,19.5,9,22.61,,13.39,,11.7,G
1990-09-24,16.78,5,22.0,,14.0,,4.6,G
1990-09-25,20.94,4,22.78,,13.78,,0.0,G
1990-09-26,18.78,11,23.78,,13.61,,0.0,G
1990-09-27,19.44,4,23.5,,13.28,,1.8,G
1990-09-28,19.17,11,23.0,*,15.22,,7.9,G
1990-09-29,19.28,11,22.78,,14.0,,9.4,G
1990-09-30,18.0,11,23.22,,13.78,,2.0,G
1990-10-01,18.61,10,23.78,,15.0,,0.0,G
1990-10-02,17.22,5,22.5,,13.11,,2.8,G
1990-10-03,20.83,10,23.5,,12.11,,13.5,G
1990-10-04,19.56,12,23.61,,12.11,,8.1,G
1990-10-05,19.44,11,23.0,,15.0,,2.0,G
1990-10-06,19.78,8,21.61,*,15.72,,0.0,G
1990-10-07,19.61,10,22.0,,15.39,,0.3,G
1990-10-08,18.33,9,21.89,,15.0,*,0.0,G
1990-10-09,19.0,12,22.0,*,13.22,,1.0,G
1990-10-10,20.5,11,27.61,*,13.22,,0.0,G
1990-10-11,19.33,11,23.28,,10.22,,0.0,G
1990-10-12,20.17,10,24.0,,10.22,,0.0,G
1990-10-13,19.78,8,24.5,,11.39,,0.0,G
1990-10-14,20.83,11,24.0,*,15.0,,2.3,G
1990-10-16,19.06,11,23.22,,14.89,,0.0,I
1990-10-17,19.5,12,23.0,*,12.89,,0.3,G
1990-10-18,20.39,11,23.0,,14.61,,0.3,G
1990-10-19,19.72,9,23.22,,15.61,,1.3,G
1990-10-20,20.67,11,24.0,*,13.5,,0.0,G
