country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Burundi,0.232,0.217,0.202,0.094,0.266,0.227,0.25,0.215,0.278,0.244,0.371,0.42,0.328,0.359,0.479,0.279,0.359,0.285,0.387,0.466,0.315,0.73,0.34,0.73,0.325,0.535,0.495,0.625,0.605,0.616,0.517,0.562,0.607,0.394,0.664,0.434,0.401,0.297,0.357,0.507,0.446,0.261,0.454,0.338,0.337,0.285,0.287,0.209,0.25,0.3,0.235,0.21,0.235,0.185,0.16,0.24,0.2,0.205,0.205,0.265,0.23,0.165,0.175,0.14,0.115,0.125
Cameroon,0.855,0.543,0.75,0.856,0.863,1.176,1.193,1.204,1.194,1.192,1.18,1.25,1.363,1.553,1.82,1.482,1.307,1.371,1.634,1.658,1.86,1.85,1.83,1.0,2.316,2.067,2.191,1.251,1.76,1.44,1.45,1.92,0.837,0.682,0.403,0.663,1.432,0.889,1.114,1.37,1.113,0.686,0.801,0.9,0.727,0.85,0.835,0.695,0.65,0.59,0.715,0.735,0.535,0.425,0.575,0.625,0.5,0.425,0.45,0.475,0.4,0.275,0.27,0.215,0.205,0.225
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.13,0.141,0.099,0.18,0.121,0.183,0.15,0.142,0.155,0.242,0.212,0.195,0.193,0.132,0.194,0.15,0.166,0.165,0.13,0.23,0.277,0.284,0.316,0.15,0.275,0.25,0.255,0.215,0.362,0.3,0.35,0.35,0.2,0.165,0.25,0.108,0.208,0.115,0.214,0.241,0.122,0.075,0.092,0.025,0.02,0.021,0.045,0.05,0.01,0.03,0.027,0.01,0.007,0.006,0.006,0.008,0.005,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,0.386,0.361,0.365,0.428,0.433,0.555,1.173,0.827,1.09,1.535,1.947,2.125,1.925,1.9,1.925,1.925,2.0,1.9,1.8,1.8,1.8,1.9,1.9
Colombia,7.26,7.571,7.18,7.556,8.428,8.2,7.6,8.0,7.9,8.45,8.0,7.2,8.6,7.8,9.0,8.5,9.3,11.05,12.6,12.712,13.5,14.342,13.3,13.0,11.0,12.0,11.0,13.0,10.7,13.3,14.5,17.98,14.95,11.4,13.0,12.939,10.779,12.043,10.868,9.512,10.5,11.95,11.712,11.053,11.532,11.953,12.164,12.515,8.664,8.1,8.525,7.655,9.927,12.075,13.3,14.0,14.6,13.825,13.87,14.1,13.4,11.8,10.7,12.76,14.8,13.8
Congo (Brazzaville),0.005,0.008,0.011,0.011,0.008,0.022,0.011,0.016,0.021,0.025,0.016,0.018,0.014,0.008,0.011,0.028,0.033,0.046,0.107,0.043,0.04,0.036,0.032,0.035,0.025,0.02,0.015,0.015,0.025,0.025,0.025,0.025,0.025,0.003,0.008,0.012,0.014,0.003,0.003,0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo (Kinshasa),0.693,0.706,0.867,1.05,0.779,0.684,1.087,1.2,1.167,1.453,1.222,1.335,1.508,1.585,1.276,1.072,1.417,1.129,1.293,1.316,1.526,1.425,1.354,1.35,1.54,1.61,1.875,2.0,1.75,2.0,1.695,1.5,1.79,0.98,1.298,1.099,0.794,0.8,0.644,0.477,0.362,0.42,0.319,0.35,0.26,0.236,0.28,0.315,0.3,0.305,0.265,0.255,0.23,0.24,0.22,0.22,0.23,0.25,0.245,0.255,0.25,0.27,0.255,0.225,0.195,0.2
Costa Rica,0.951,1.073,0.952,1.043,0.845,1.001,1.164,1.313,1.228,1.403,1.295,1.551,1.266,1.539,1.43,1.276,1.331,1.449,1.749,1.522,2.14,1.782,2.3,2.07,2.516,1.514,2.566,2.375,2.758,2.453,2.565,2.53,2.62,2.475,2.492,2.595,2.376,2.455,2.459,2.688,2.502,2.338,2.207,2.106,1.907,1.751,1.782,1.867,1.58,1.475,1.575,1.775,1.675,1.45,1.4,1.625,1.3,1.525,1.25,1.466,1.472,1.215,1.1,1.158,1.298,1.17
Cote d'Ivoire,3.134,1.608,3.14,4.275,3.342,4.343,2.01,4.712,3.328,4.414,3.996,4.544,4.007,4.368,4.486,5.266,4.867,3.123,4.742,3.973,6.09,4.16,4.51,1.42,4.609,4.42,4.405,3.103,3.989,4.734,3.3,3.967,2.5,2.7,3.733,2.9,5.333,4.08,2.217,5.7,5.1,3.568,1.825,2.689,1.801,2.062,2.447,2.098,1.853,2.35,1.6,1.6,1.75,1.675,1.4,1.6,1.09,1.25,2.0,1.775,0.91,1.11,1.02,1.325,0.65,1.3
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.7,0.75,0.63,0.475,0.6,0.46,0.45,0.45,0.5,0.5,0.475,0.46,0.475,0.5,0.45,0.365,0.4,0.262,0.223,0.372,0.344,0.383,0.3,0.385,0.4,0.396,0.408,0.436,0.45,0.475,0.48,0.45,0.335,0.285,0.284,0.285,0.366,0.3,0.28,0.328,0.313,0.285,0.239,0.224,0.154,0.125,0.1,0.07,0.127,0.12,0.12,0.17,0.125,0.15,0.15,0.15,0.15,0.1,0.11,0.09,0.1,0.1,0.1,0.1,0.1,0.1
Dominican Republic,0.55,0.649,0.625,0.755,0.758,0.709,0.576,0.706,0.602,0.795,0.853,0.768,0.767,0.853,0.883,1.054,0.733,1.062,0.664,1.02,1.105,0.813,1.159,0.871,0.913,0.91,0.786,0.837,0.726,0.756,0.672,0.702,0.682,0.545,0.7,0.795,0.638,0.941,0.422,0.694,0.439,0.435,0.455,0.351,0.491,0.31,0.39,0.465,0.545,0.5,0.5,0.5,0.475,0.275,0.225,0.225,0.225,0.125,0.125,0.12,0.12,0.125,0.125,0.125,0.125,0.125
Ecuador,0.594,0.728,0.626,0.619,0.783,0.96,0.899,1.098,0.974,0.581,1.255,1.027,1.059,1.414,0.961,1.244,1.389,1.434,1.64,1.609,1.517,1.792,1.8,1.38,1.5,1.966,2.268,1.663,2.15,2.15,1.83,1.7,1.56,2.15,2.55,1.9,1.815,1.23,1.322,1.295,1.005,0.91,0.79,0.692,0.733,0.835,0.875,0.825,0.635,0.685,0.65,0.63,0.465,0.22,0.255,0.225,0.17,0.205,0.255,0.275,0.255,0.26,0.354,0.37,0.355,0.35
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Salvador,1.452,1.93,1.638,1.904,2.052,1.81,1.935,2.393,1.817,2.468,2.054,2.68,2.238,2.37,3.8,2.03,2.61,2.8,3.423,3.322,2.94,2.886,2.8,2.4,2.68,2.3,2.275,2.538,1.492,2.787,2.603,2.357,2.894,2.361,2.314,2.325,2.498,2.04,1.86,2.612,1.624,1.61,1.351,1.343,1.329,1.387,1.4,1.65,1.55,1.3,1.86,1.2,1.25,0.55,0.7,0.56,0.6,0.66,0.654,0.51,0.54,0.6,0.55,0.604,0.45,0.5
Equatorial Guinea,0.12,0.12,0.12,0.12,0.13,0.126,0.13,0.146,0.126,0.12,0.12,0.116,0.045,0.055,0.07,0.025,0.01,0.01,0.01,0.01,0.015,0.02,0.015,0.015,0.015,0.015,0.018,0.018,0.015,0.015,0.015,0.015,0.015,0.0,0.003,0.002,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,1.687,2.007,2.073,2.205,2.416,2.234,2.426,2.153,1.988,2.991,2.589,2.29,2.58,2.187,2.488,2.611,2.782,3.143,3.142,3.188,3.264,3.212,3.35,3.3,2.587,2.833,2.7,3.2,3.4,3.4,3.5,3.0,3.5,3.7,3.8,3.8,3.8,3.833,3.867,3.505,2.768,3.756,3.693,3.875,4.068,4.5,5.0,5.0,5.5,6.0,6.125,6.32,6.5,6.345,6.475,6.51,6.943,7.055,7.35,7.475,7.6,8.15,7.3,9.13,11.1,11.56
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,0.014,0.019,0.024,0.016,0.024,0.018,0.013,0.016,0.007,0.011,0.017,0.011,0.012,0.006,0.003,0.001,0.007,0.003,0.006,0.008,0.008,0.015,0.029,0.035,0.04,0.025,0.012,0.03,0.035,0.03,0.037,0.025,0.025,0.003,0.008,0.002,0.002,0.003,0.004,0.002,0.0,0.001,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,0.054,0.038,0.04,0.116,0.032,0.1,0.066,0.113,0.092,0.083,0.039,0.058,0.06,0.061,0.078,0.056,0.07,0.032,0.031,0.035,0.027,0.035,0.023,0.02,0.015,0.015,0.018,0.014,0.017,0.017,0.035,0.032,0.02,0.046,0.057,0.057,0.032,0.028,0.055,0.089,0.076,0.013,0.029,0.017,0.013,0.017,0.029,0.027,0.019,0.03,0.057,0.07,0.03,0.006,0.004,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,1.5,1.7,1.929,1.712,1.66,2.095,1.726,1.792,1.716,1.941,1.965,2.099,2.133,2.352,2.386,2.043,2.213,2.541,2.827,2.647,2.702,2.653,2.53,2.34,2.703,2.65,2.843,3.02,3.022,3.472,3.282,3.549,3.584,3.078,3.5,3.827,4.141,4.2,4.3,4.364,4.564,3.53,3.802,3.671,3.817,3.715,4.05,4.11,3.98,4.01,3.96,4.41,4.01,3.515,3.185,3.295,3.57,3.78,3.77,3.645,3.93,3.54,3.27,3.469,3.205,3.54
Guinea,0.2,0.235,0.215,0.175,0.15,0.169,0.061,0.103,0.076,0.111,0.125,0.095,0.097,0.07,0.11,0.073,0.089,0.066,0.109,0.048,0.112,0.064,0.065,0.05,0.03,0.085,0.09,0.095,0.1,0.125,0.125,0.125,0.1,0.064,0.198,0.104,0.148,0.172,0.421,0.382,0.368,0.236,0.328,0.366,0.316,0.525,0.4,0.25,0.4,0.445,0.325,0.425,0.165,0.05,0.15,0.28,0.2,0.19,0.07,0.145,0.07,0.3,0.1,0.19,0.175,0.19
Guyana,0.005,0.004,0.005,0.005,0.01,0.019,0.019,0.019,0.02,0.018,0.011,0.012,0.012,0.01,0.015,0.015,0.017,0.018,0.019,0.022,0.026,0.026,0.021,0.017,0.015,0.012,0.007,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.002,0.002,,0.003,0.003,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.421,0.746,0.59,0.562,0.588,0.613,0.446,0.534,0.564,0.458,0.564,0.604,0.536,0.58,0.59,0.575,0.486,0.519,0.443,0.669,0.465,0.494,0.674,0.63,0.592,0.505,0.463,0.526,0.479,0.527,0.58,0.55,0.5,0.459,0.358,0.506,0.429,0.435,0.442,0.399,0.42,0.403,0.374,0.35,0.34,0.331,0.337,0.335,0.36,0.275,0.35,0.35,0.325,0.325,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,0.291,0.315,0.405,0.39,0.479,0.461,0.431,0.495,0.514,0.443,0.545,0.586,0.759,0.689,0.983,0.847,0.691,1.036,1.132,1.137,1.265,1.2,1.5,1.31,1.4,1.062,1.535,1.553,1.635,1.928,1.685,2.255,1.981,2.06,2.295,2.254,2.279,2.905,2.494,3.067,2.821,3.098,2.496,2.968,2.575,3.204,3.46,3.642,3.225,3.55,3.975,5.6,4.725,4.4,5.1,5.3,7.51,7.6,7.1,5.2,6.5,4.8,5.7,5.05,5.0,5.8
India,1.225,0.769,1.028,1.241,1.008,1.154,1.384,1.046,1.31,1.148,1.914,1.236,1.626,1.508,1.662,1.498,1.753,2.031,1.842,2.495,1.977,2.54,2.17,1.667,3.25,2.033,3.35,2.05,3.59,2.15,2.97,3.2,2.7,3.465,3.06,3.717,3.417,3.805,4.415,4.87,5.02,5.01,4.588,4.508,4.595,4.57,4.8,4.365,4.375,4.825,5.035,5.23,5.303,5.075,5.44,5.8,5.2,5.266,5.325,4.967,5.567,5.7,5.867,6.56,6.2,6.05
Indonesia,1.33,1.857,1.759,2.253,1.983,2.19,2.447,3.006,2.542,2.626,2.33,2.298,2.236,2.609,2.652,3.049,3.384,3.911,4.788,4.803,5.365,5.785,4.75,5.515,5.6,5.8,5.9,5.965,6.75,7.1,7.48,7.1,7.35,7.4,6.4,5.8,7.9,7.0,6.95,6.66,6.495,6.16,6.8,7.25,8.45,9.45,7.5,8.0,10.0,10.5,9.325,7.97,11.9,11.9,10.47,12.1,10.6,10.4,10.6,10.7,10.7,10.58,10.7,8.15,10.7,12.45
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaica,0.018,0.024,0.021,0.026,0.023,0.022,0.022,0.026,0.017,0.021,0.021,0.024,0.021,0.031,0.024,0.03,0.017,0.023,0.014,0.034,0.02,0.023,0.03,0.025,0.025,0.027,0.028,0.041,0.014,0.019,0.026,0.038,0.029,0.035,0.044,0.043,0.054,0.046,0.029,0.039,0.037,0.031,0.037,0.037,0.021,0.034,0.03,0.035,0.031,0.028,0.023,0.02,0.025,0.031,0.027,0.027,0.016,0.016,0.015,0.016,0.015,0.015,0.018,0.019,0.015,0.02
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,0.566,0.525,0.635,0.724,0.73,0.859,0.923,0.652,0.803,0.913,0.999,1.02,1.266,1.222,1.102,1.244,1.687,1.417,1.239,1.531,1.568,1.396,1.522,2.16,1.62,1.945,1.75,2.16,1.96,1.74,1.455,1.505,1.217,1.23,1.584,1.81,1.138,1.028,1.148,1.685,0.864,0.869,0.926,0.847,0.756,0.805,0.876,0.75,0.9,0.9,0.71,0.75,0.66,0.85,0.78,0.75,0.85,0.72,0.85,0.75,0.693,0.86,0.75,0.825,1.0,0.85
"Korea, South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laos,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.025,0.05,0.075,0.085,0.13,0.09,0.11,0.1,0.12,0.13,0.1,0.15,0.15,0.15,0.283,0.292,0.392,0.43,0.537,0.464,0.385,0.3,0.42,0.355,0.35,0.39,0.5,0.45,0.46,0.475,0.475,0.475,0.41,0.45,0.375,0.44,0.485,0.385,0.41,0.41,0.43,0.43
Liberia,0.015,0.027,0.048,0.072,0.055,0.072,0.074,0.084,0.099,0.082,0.085,0.078,0.086,0.067,0.081,0.086,0.156,0.137,0.144,0.171,0.147,0.165,0.159,0.069,0.209,0.07,0.072,0.06,0.082,0.04,0.03,0.03,0.025,0.005,0.005,0.005,0.005,0.005,0.018,0.012,0.014,0.012,0.063,0.066,0.068,0.071,0.053,0.025,0.007,0.002,0.004,0.005,0.005,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,0.933,0.872,1.017,0.833,1.117,0.7,0.892,1.037,1.12,0.824,1.243,1.0,0.949,1.303,1.202,1.223,0.984,1.292,0.814,1.313,1.15,1.305,1.0,1.1,1.1,1.0,1.0,1.125,1.1,1.1,1.1,1.15,1.0,0.442,0.642,0.785,0.849,0.623,0.992,0.427,0.366,0.147,0.445,0.435,0.522,0.592,0.582,0.555,0.53,0.475,0.55,0.55,0.525,0.55,0.5,0.255,0.295,0.25,0.28,0.325,0.325,0.3,0.325,0.3,0.3,0.3
Malawi,0.002,0.001,0.003,0.002,0.003,0.001,0.002,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.005,0.007,0.01,0.016,0.021,0.036,0.056,0.059,0.083,0.072,0.095,0.09,0.09,0.137,0.062,0.084,0.091,0.049,0.061,0.064,0.059,0.063,0.06,0.042,0.048,0.021,0.024,0.017,0.025,0.015,0.02,0.024,0.021,0.025,0.025,0.021,0.023,0.016,0.012,0.011,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,0.045,0.043,0.047,0.052,0.052,0.058,0.057,0.06,0.063,0.059,0.066,0.07,0.082,0.098,0.104,0.135,0.125,0.09,0.102,0.098,0.088,0.089,0.09,0.091,0.086,0.083,0.08,0.078,0.075,0.075,0.075,0.075,0.075,0.15,0.153,0.158,0.16,0.195,0.217,0.25,0.7,0.8,0.95,1.0,1.0,0.7,0.5,0.77,0.975,1.0,1.1,1.45,1.4,1.5,2.1,2.2,2.1,2.1,2.1,1.9,2.0,2.0,2.0,1.33,1.4,1.5
Mexico,2.1,2.35,2.202,2.9,2.65,3.0,2.7,2.9,2.865,3.082,3.2,3.4,3.914,3.5,4.03,4.136,3.431,3.301,4.022,3.6,3.862,3.9,4.53,4.53,4.25,4.826,5.297,4.717,5.5,5.1,4.55,4.62,4.18,4.2,4.03,5.4,5.3,4.95,5.01,6.193,4.8,4.2,4.35,4.3,4.0,4.2,4.5,4.35,4.55,4.15,4.0,4.3,4.65,3.95,3.18,2.3,3.3,4.0,3.55,3.7,3.53,3.74,3.545,3.856,3.87,3.903
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Caledonia,0.03,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.03,0.03,0.025,0.02,0.018,0.015,0.012,0.01,0.009,0.005,0.011,0.01,0.01,0.008,0.006,0.004,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.001,0.001,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicaragua,0.437,0.432,0.535,0.533,0.61,0.513,0.421,0.556,0.504,0.563,0.641,0.725,0.537,0.683,0.73,0.79,0.852,0.967,1.004,1.019,0.971,1.004,1.186,0.809,0.843,0.581,0.712,0.635,0.714,0.743,0.46,0.782,0.545,0.695,0.685,0.986,0.831,1.083,1.079,1.514,1.61,0.895,1.2,1.547,1.13,1.718,1.3,1.85,1.65,1.925,1.74,2.1,1.925,2.0,2.125,2.125,2.625,2.73,2.95,2.755,2.65,2.838,2.59,2.347,2.56,2.58
Nigeria,0.018,0.02,0.036,0.095,0.045,0.074,0.044,0.052,0.075,0.06,0.083,0.058,0.045,0.041,0.042,0.067,0.053,0.043,0.06,0.04,0.052,0.052,0.045,0.042,0.048,0.06,0.08,0.095,0.09,0.095,0.09,0.09,0.04,0.045,0.052,0.053,0.046,0.045,0.053,0.046,0.048,0.044,0.05,0.036,0.035,0.059,0.051,0.035,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
