section,topic,claim_as_in_search_summary,value,unit,year,verification_status,search_query,candidate_source_urls
2,Resistant share,"~60% of Honduran coffee in resistant varieties (Lempira, IHCAFE 90, Parainema) [date unclear, secondary blog]",60,% cultivation,~2020,UNVERIFIED - search-engine summary only; document NOT downloaded,Honduras porcentaje área café variedades resistentes,https://perfectdailygrind.com/es/2020/03/18/explorando-las-variedades-comunes-de-cafe-de-honduras/
2,Resistant share 2012-13,"Of 400,000 manzanas cultivated, 200,000 resistant to rust; rest Catuaí, Caturra, Bourbon, Pacas (press, rust era)",200000 of 400000,manzanas,2012-13,UNVERIFIED - search-engine summary only; document NOT downloaded,roya Honduras 2012-2013 manzanas afectadas,https://www.elheraldo.hn/honduras/precios-bajos-y-ataque-de-la-roya-dejaran-perdidas-por-700-millones-GOEH566347 ; https://bdigital.zamorano.edu/items/e6eb0227-c664-4e78-a24e-15fb71ce3f71
2,Rust impact 2012-13,"Rust affected 25% of area (~100,000 mz): ~30,000 mz severe (renovation), ~70,000 mz moderate (rehabilitation); IHCAFE prelim loss ~1.5 million qq, ~US$250 million",100000 ; 1.5 million qq ; 250 million USD,mz ; qq ; USD,2012-13,UNVERIFIED - search-engine summary only; document NOT downloaded,roya Honduras 2012-2013 manzanas afectadas,https://www.elheraldo.hn/economia/caficultura-tardara-tres-anos-para-recuperarse-de-estragos-de-la-roya-FKEH610243 ; https://www.elheraldo.hn/honduras/precios-bajos-y-ataque-de-la-roya-dejaran-perdidas-por-700-millones-GOEH566347
2,Avelino 2015,Central America production -16% in 2013 vs 2011-12 and -10% in 2013-14 vs 2012-13 (Colombia -31% avg vs 2007),-16 ; -10,%,2013,UNVERIFIED - search-engine summary only; document NOT downloaded,Avelino 2015 coffee rust crises,https://agritrop.cirad.fr/575723/ ; https://d-nb.info/1198124938/34
3,National yield,"Average yield ~18 qq/mz (could reach 30 with investment); 2022-23 production 7,159,804 qq oro",18 ; 7159804,qq oro/mz ; qq oro,2022-23,UNVERIFIED - search-engine summary only; document NOT downloaded,Honduras rendimiento promedio quintales oro por manzana,https://www.elheraldo.hn/economia/siete-departamentos-mas-cafe-producen-honduras-PA19802085 ; https://www.laprensa.hn/economia/departamentos-cafe-producen-honduras-EA19803315
3,Dept yields,"Copán 21.25 qq/mz on 51,131 mz; Comayagua 17.34 on 66,121 mz; Lempira 18.82; Ocotepeque 19.20; Yoro 18.92; Intibucá 18.39",see claim,qq oro/mz,~2023,UNVERIFIED - search-engine summary only; document NOT downloaded,Honduras rendimiento promedio quintales oro por manzana,https://www.elheraldo.hn/economia/siete-departamentos-mas-cafe-producen-honduras-PA19802085
4,Fideicomiso 2003,Decreto 152-2003 (17 Sep 2003) Ley de Reactivación Financiera del Sector Productor de Café created the trust; reformed by Decreto 56-2007 (8 May 2007); snippet mentions US$4/qq retention (NOT US$9 - conflicts with brief),4,USD/qq retention,2003,UNVERIFIED - search-engine summary only; document NOT downloaded,Ley de Reactivación Financiera ... 2003,https://faolex.fao.org/docs/pdf/hon94834.pdf ; https://www.ecolex.org/es/details/legislation/decreto-no-5607-modifica-el-decreto-no-15203-ley-de-reactivacion-financiera-del-sector-productor-de-cafe-lex-faoc094836/
4,Decreto 93-2018,"Authorised IHCAFE to contract financing up to L1,900 million to lend L200 per quintal clean coffee, based on 2016/17 registered production (snippet did NOT confirm US$25/qq or US$1.50/qq)",1900 million ; 200,Lempiras ; L/qq,2018,UNVERIFIED - search-engine summary only; document NOT downloaded,Decreto 93-2018 fideicomiso café,https://www.ihcafe.hn/wp-content/uploads/2021/06/Decreto-93-2018_Prestamo-L200_Leyes-IHCAFE-1.pdf ; https://hn.vlex.com/vid/decreto-no-93-2018-742043561
4,2018 debt relief,"Decreto 47-2018 agricultural debt readjustment up to 20 years at 2%; BANHPROVI Coffee Sector Fund L300 million (guarantee supporting >L5 billion refinancing); >55,000 growers",300 million ; 20 yrs ; 2%,L ; years ; interest,2018-19,UNVERIFIED - search-engine summary only; document NOT downloaded,readecuación deudas caficultores Honduras 2019,https://www.elheraldo.hn/honduras/aprueban-dos-formas-de-financiamiento-para-los-caficultores-FWEH1211602 ; http://www.miambiente.gob.hn/blog/view/mas-de-55000-caficultores-se-beneficiaran-con-readecuacion-y-refinanciamiento-de-deuda
4,Rust credit 2013,"~L1,715 million made available to growers through different sources to face rust (2013); banks to lend L900 million",1715 million ; 900 million,Lempiras,2013,UNVERIFIED - search-engine summary only; document NOT downloaded,línea de crédito 370 millones lempiras fertilizante,https://www.elheraldo.hn/economia/caficultura-tardara-tres-anos-para-recuperarse-de-estragos-de-la-roya-FKEH610243 ; https://www.elheraldo.hn/economia/bancos-prestaran-l-900-millones-a-los-caficultores-BKEH610212
4,Rust emergency 2013,"Gaceta No. 33,050 of 13 Feb 2013 references phytosanitary emergency for coffee rust (decree number not in snippet)",13 Feb 2013,date,2013,UNVERIFIED - search-engine summary only; document NOT downloaded,emergencia roya Honduras febrero 2013 decreto,https://faolex.fao.org/docs/pdf/hon123550.pdf
4,BANADESA rust,"BANADESA attended 360 rust-affected producers, lending >L28 million (regional, year unclear)",28 million ; 360,L ; producers,~2013,UNVERIFIED - search-engine summary only; document NOT downloaded,emergencia roya Honduras ... BANADESA,https://www.elheraldo.hn/honduras/caficultura-movio-prestamos-por-59-millones-de-lempiras-DCEH781103
4,Bono Cafetalero (2020/21),"L250 million (~US$10.12 million), 83,273 producers, 222 municipalities, 15 depts, 216,223 qq fertiliser 17-3-17; 2 qq for 1-50 qq producers, 4 for 51-100, 5 for 101-125",250 million ; 83273 ; 216223,L ; producers ; qq fert,2020/2021,UNVERIFIED - search-engine summary only; document NOT downloaded,Bono Cafetalero PCM 030-2020,https://www.laprensa.hn/economia/83-000-productores-recibiran-bono-cafetalero-honduras-BJ9308982 ; https://www.tsc.gob.hn/web/leyes/PCM-031-2021.pdf
4,Bono Cafetalero 2021,"Presidencia: bono will benefit >88,207 producers in 2021 (title only)",88207,producers,2021,UNVERIFIED - search-engine summary only; document NOT downloaded,PCM 031-2021 bono cafetalero,https://presidencia.gob.hn/index.php/sala-de-prensa/9515-bono-cafetalero-beneficiara-a-mas-de-88-207-productores-de-todo-el-pais-en-2021
4,Bono Cafetalero 2025,"L350 million, 119,803 producers, 226 municipalities, 300,000 qq fertiliser; plus renovation plan 100 million plants for 35,000 mz",350 million ; 119803 ; 300000 ; 35000,L ; producers ; qq ; mz,2025,UNVERIFIED - search-engine summary only; document NOT downloaded,línea de crédito 370 millones ... fertilizante,https://tnh.gob.hn/nacional/bono-cafetalero-impulsa-a-mas-de-5600-productores-de-yoro-con-entrega-de-15000-quintales-de-fertilizante/
4,Bono 2022,"Honduras to benefit 100,000 producers with bono cafetalero (Oct 2022, title)",100000,producers,2022,UNVERIFIED - search-engine summary only; document NOT downloaded,Bono Cafetalero,https://www.prensa-latina.cu/2022/10/05/honduras-beneficiara-a-100-mil-productores-con-bono-cafetalero
4,CAF loan,"CAF US$350 million loan (coffee + social); US$40 million credit & guarantee programme for coffee; first CAF disbursement to BANADESA L12,937,534.30",350 million ; 40 million ; 12937534.30,USD ; USD ; L,~2024-25,UNVERIFIED - search-engine summary only; document NOT downloaded,Banco Central de Honduras préstamos sector café,https://icndigital.com/caf-prestara-a-honduras-usd-350-millones-para-sector-cafe-y-desarrollo-social/ ; https://banadesa.hn/noticias-recientes/caf-realiza-primer-desembolso-a-banadesa-por-mas-de-12-9-millones-de-lempiras-para-el-financiamiento-al-sub-sector-cafe/
4,Renovation 2020s,"""Renovar sin dejar de producir"" SAG-IHCAFE: 134 demo farms, target 250,000 mz in five years; 70,000 mz renewed so far (33,000 producers not confirmed)",250000 ; 70000,mz,~2024-26,UNVERIFIED - search-engine summary only; document NOT downloaded,IHCAFE programa renovación 2023-2027,https://proceso.hn/honduras-renueva-70-mil-manzanas-de-cafe-y-proyecta-aumentar-exportaciones/
5,Coffee debt stock,"Growers owe banks, cooperatives and IHCAFE ~L5,565 million (June 2021)",5565 million,Lempiras,2021,UNVERIFIED - search-engine summary only; document NOT downloaded,Banco Central de Honduras préstamos sector café,https://www.latribuna.hn/2021/06/25/caficultores-deben-a-bancos-e-ihcafe-l5565-millones/
5,Loans approved,"""Aprueban L6,700 millones en préstamos para caficultores"" (headline only, year unknown)",6700 million,Lempiras,?,UNVERIFIED - search-engine summary only; document NOT downloaded,Banco Central de Honduras préstamos sector café,https://www.laprensa.hn/economia/habilitados-fondos-ayuda-productores-hondurenos-cafe-OXLP1213148
5,BANADESA 2023,>L33 million coffee credit placed in El Paraíso in 2023 (headline),33 million,Lempiras,2023,UNVERIFIED - search-engine summary only; document NOT downloaded,Banco Central de Honduras préstamos sector café,https://banadesa.hn/noticias-recientes/mas-de-33-millones-de-lempiras-para-el-rubro-de-cafe-se-colocaron-en-creditos-en-el-paraiso-durante-2023/
6,Cost 2023,Production cost ~US$130 per quintal (Jan 2023 article),130,USD/qq,2023,UNVERIFIED - search-engine summary only; document NOT downloaded,IHCAFE costo de producción quintal,https://www.laprensa.hn/economia/cafe-precios-crisis-economia-honduras-EL29448185
6,Break-even 2019,Growers needed international price of at least US$135/qq (2018/19); price had risen 90->110,135,USD/qq,2019,UNVERIFIED - search-engine summary only; document NOT downloaded,costo producción manzana café Honduras 2019,https://www.laprensa.hn/economia/precios-cafe-cubren-costo-produccion-caficultores-hondurenos-AGLP1299801
7,Export price 2023-24,Average export price 2023-24 US$198.83 per 46 kg; first 5 months US$190.77; volume 5.36 million qq,198.83 ; 5.36 million,USD/46kg ; qq,2023-24,UNVERIFIED - search-engine summary only; document NOT downloaded,Honduras precio promedio exportación café 2023-2024,"https://www.swissinfo.ch/spa/los-ingresos-por-la-exportaci%C3%B3n-de-caf%C3%A9-hondure%C3%B1o-bajan-un-11,4-%25-en-la-cosecha-2023-2024/84332095 ; https://www.elheraldo.hn/economia/avance-74-exportacion-cafe-honduras-cosecha-2023-2024-JI19998908"
7,Farm-gate 2025,Farm-gate price fell from L67-70 to ~L50 per lb pergamino seco; 100 lb café uva L550-600 (early 2025),50 ; 67-70 ; 550-600,L/lb pergamino ; L/100 lb uva,2025,UNVERIFIED - search-engine summary only; document NOT downloaded,precio pagado al productor café Honduras 2024 2025,https://www.tunota.com/honduras-hoy/precio-del-cafe-hoy-en-honduras-cuanto-cuesta-el-quintal-en-2025-01-17 ; https://www.radioamerica.hn/productores-de-cafe-de-honduras-preocupados-por-caida-del-precio-del-grano-aromatico/
7,Exchange rate,"TCR closed 2024 at L25.1522/US$; 2023 moved 24.5978 -> 24.6513 (end-period, not annual average)",25.1522 ; 24.6513,L/USD,2023-24,UNVERIFIED - search-engine summary only; document NOT downloaded,Honduras tipo de cambio promedio anual,https://www.laprensa.hn/economia/honduras-tipo-cambio-lempira-alcanza-record-historico-devaluacion-frente-dolar-subasta-banco-central-DB22893066
7,ICO I-CIP,I-CIP averaged 310.12 USc/lb Jan 2025; 297.05 Aug 2025; Other Milds 354.47 Jan 2025,310.12 ; 297.05 ; 354.47,US cents/lb,2025,UNVERIFIED - search-engine summary only; document NOT downloaded,ICO prices paid to growers Honduras,https://www.ico.org/documents/cy2024-25/cmr-0125-e.pdf ; https://www.ico.org/documents/cy2024-25/cmr-0825-e.pdf
