country,series,year,forecast,lo80,hi80,lo95,hi95,unit,model
Brazil,Area total,2031,2327,2236.26,2417.74,2188.22,2465.77,1000 ha,"ARMA(0,0)"
Brazil,Area non-bearing,2027,402,312.536,491.464,265.177,538.823,1000 ha,"ARIMA(0,1,0)"
Brazil,Area non-bearing,2028,402,275.479,528.521,208.503,595.497,1000 ha,"ARIMA(0,1,0)"
Brazil,Area non-bearing,2029,402,247.045,556.955,165.016,638.984,1000 ha,"ARIMA(0,1,0)"
Brazil,Area non-bearing,2030,402,223.073,580.927,128.355,675.645,1000 ha,"ARIMA(0,1,0)"
Brazil,Area non-bearing,2031,402,201.953,602.047,96.0551,707.945,1000 ha,"ARIMA(0,1,0)"
Brazil,Area bearing,2027,1939.6,1834.64,2044.56,1779.08,2100.12,1000 ha,"ARMA(0,0)"
Brazil,Area bearing,2028,1927.81,1822.85,2032.77,1767.29,2088.33,1000 ha,"ARMA(0,0)"
Brazil,Area bearing,2029,1916.01,1811.05,2020.97,1755.49,2076.54,1000 ha,"ARMA(0,0)"
Brazil,Area bearing,2030,1904.22,1799.26,2009.18,1743.7,2064.74,1000 ha,"ARMA(0,0)"
Brazil,Area bearing,2031,1892.43,1787.47,1997.39,1731.91,2052.95,1000 ha,"ARMA(0,0)"
Brazil,Trees non-bearing,2027,1461,1191.28,1730.72,1048.5,1873.5,million trees,"ARIMA(0,1,0)"
Brazil,Trees non-bearing,2028,1461,1079.56,1842.44,877.643,2044.36,million trees,"ARIMA(0,1,0)"
Brazil,Trees non-bearing,2029,1461,993.837,1928.16,746.536,2175.46,million trees,"ARIMA(0,1,0)"
Brazil,Trees non-bearing,2030,1461,921.567,2000.43,636.008,2285.99,million trees,"ARIMA(0,1,0)"
Brazil,Trees non-bearing,2031,1461,857.895,2064.1,538.631,2383.37,million trees,"ARIMA(0,1,0)"
Brazil,Trees bearing,2027,7007.29,6666.65,7347.92,6486.33,7528.24,million trees,"ARIMA(0,1,0)"
Brazil,Trees bearing,2028,7138.57,6656.85,7620.3,6401.84,7875.31,million trees,"ARIMA(0,1,0)"
Brazil,Trees bearing,2029,7269.86,6679.87,7859.85,6367.54,8172.17,million trees,"ARIMA(0,1,0)"
Brazil,Trees bearing,2030,7401.14,6719.88,8082.41,6359.24,8443.05,million trees,"ARIMA(0,1,0)"
Brazil,Trees bearing,2031,7532.43,6770.75,8294.1,6367.55,8697.31,million trees,"ARIMA(0,1,0)"
Brazil,Trees total,2027,8206.88,7923.3,8490.47,7773.18,8640.59,million trees,"ARMA(1,0)"
Brazil,Trees total,2028,8197.17,7886.32,8508.02,7721.76,8672.58,million trees,"ARMA(1,0)"
Brazil,Trees total,2029,8241.51,7925.45,8557.57,7758.14,8724.89,million trees,"ARMA(1,0)"
Brazil,Trees total,2030,8310.12,7993.02,8627.22,7825.16,8795.08,million trees,"ARMA(1,0)"
Brazil,Trees total,2031,8389.62,8072.31,8706.93,7904.34,8874.9,million trees,"ARMA(1,0)"
Brazil,Yield (production / bearing area),2027,34.9704,31.6373,38.3035,29.8728,40.068,bags/ha,"ARIMA(1,1,1)"
Brazil,Yield (production / bearing area),2028,36.9891,33.2424,40.7358,31.259,42.7192,bags/ha,"ARIMA(1,1,1)"
Brazil,Yield (production / bearing area),2029,35.0227,30.0359,40.0096,27.396,42.6495,bags/ha,"ARIMA(1,1,1)"
Brazil,Yield (production / bearing area),2030,36.9381,31.6524,42.2238,28.8543,45.0219,bags/ha,"ARIMA(1,1,1)"
Brazil,Yield (production / bearing area),2031,35.0724,28.8668,41.278,25.5818,44.563,bags/ha,"ARIMA(1,1,1)"
Colombia,Production Arabica,2027,13400,11681.6,15118.4,10771.9,16028.1,1000 60-kg bags,"ARIMA(0,1,0)"
Colombia,Production Arabica,2028,13400,10969.8,15830.2,9683.29,17116.7,1000 60-kg bags,"ARIMA(0,1,0)"
Colombia,Production Arabica,2029,13400,10423.6,16376.4,8847.97,17952,1000 60-kg bags,"ARIMA(0,1,0)"
Colombia,Production Arabica,2030,13400,9963.14,16836.9,8143.77,18656.2,1000 60-kg bags,"ARIMA(0,1,0)"
Colombia,Production Arabica,2031,13400,9557.47,17242.5,7523.36,19276.6,1000 60-kg bags,"ARIMA(0,1,0)"
Colombia,Area total,2027,800.806,788.756,812.856,782.377,819.235,1000 ha,"ARMA(3,0)"
Colombia,Area total,2028,801.825,782.396,821.254,772.111,831.54,1000 ha,"ARMA(3,0)"
Colombia,Area total,2029,803.187,775.047,831.326,760.151,846.222,1000 ha,"ARMA(3,0)"
Colombia,Area total,2030,804.643,769.061,840.225,750.226,859.061,1000 ha,"ARMA(3,0)"
Colombia,Area total,2031,806.157,763.992,848.321,741.672,870.641,1000 ha,"ARMA(3,0)"
Colombia,Area non-bearing,2027,160.872,151.644,170.099,146.76,174.984,1000 ha,"ARMA(2,0)"
Colombia,Area non-bearing,2028,162.683,147.734,177.632,139.821,185.546,1000 ha,"ARMA(2,0)"
Colombia,Area non-bearing,2029,164.974,148.299,181.649,139.471,190.476,1000 ha,"ARMA(2,0)"
Colombia,Area non-bearing,2030,167.101,150.424,183.779,141.595,192.607,1000 ha,"ARMA(2,0)"
Colombia,Area non-bearing,2031,168.626,150.75,186.502,141.287,195.965,1000 ha,"ARMA(2,0)"
Colombia,Area bearing,2027,634.358,616.198,652.518,606.585,662.132,1000 ha,"ARMA(2,0)"
Colombia,Area bearing,2028,624.686,590.092,659.281,571.779,677.594,1000 ha,"ARMA(2,0)"
Colombia,Area bearing,2029,612.589,563.722,661.456,537.853,687.325,1000 ha,"ARMA(2,0)"
Colombia,Area bearing,2030,599.494,539.666,659.323,507.995,690.994,1000 ha,"ARMA(2,0)"
Colombia,Area bearing,2031,586.549,519.245,653.854,483.616,689.482,1000 ha,"ARMA(2,0)"
Colombia,Trees total,2027,4500,4364.14,4635.86,4292.22,4707.78,million trees,"ARIMA(0,1,0)"
Colombia,Trees total,2028,4500,4307.87,4692.13,4206.16,4793.84,million trees,"ARIMA(0,1,0)"
Colombia,Trees total,2029,4500,4264.69,4735.31,4140.12,4859.88,million trees,"ARIMA(0,1,0)"
Colombia,Trees total,2030,4500,4228.28,4771.72,4084.44,4915.56,million trees,"ARIMA(0,1,0)"
Colombia,Trees total,2031,4500,4196.21,4803.79,4035.39,4964.61,million trees,"ARIMA(0,1,0)"
Colombia,Trees non-bearing,2027,994.341,929.491,1059.19,895.162,1093.52,million trees,"ARMA(2,0)"
Colombia,Trees non-bearing,2028,985.606,866.331,1104.88,803.19,1168.02,million trees,"ARMA(2,0)"
Colombia,Trees non-bearing,2029,976.04,814.031,1138.05,728.269,1223.81,million trees,"ARMA(2,0)"
Colombia,Trees non-bearing,2030,967.319,776.963,1157.67,676.195,1258.44,million trees,"ARMA(2,0)"
Colombia,Trees non-bearing,2031,960.479,754.618,1166.34,645.642,1275.32,million trees,"ARMA(2,0)"
Colombia,Trees bearing,2027,3500,3341.07,3658.93,3256.93,3743.07,million trees,"ARIMA(0,1,0)"
Colombia,Trees bearing,2028,3500,3275.23,3724.77,3156.25,3843.75,million trees,"ARIMA(0,1,0)"
Colombia,Trees bearing,2029,3500,3224.72,3775.28,3079,3921,million trees,"ARIMA(0,1,0)"
Colombia,Trees bearing,2030,3500,3182.13,3817.87,3013.87,3986.13,million trees,"ARIMA(0,1,0)"
Colombia,Trees bearing,2031,3500,3144.61,3855.39,2956.48,4043.52,million trees,"ARIMA(0,1,0)"
Colombia,Yield,2027,16.75,14.5554,18.9446,13.3937,20.1063,bags/ha,"ARIMA(0,1,0)"
Colombia,Yield,2028,16.75,13.6464,19.8536,12.0034,21.4966,bags/ha,"ARIMA(0,1,0)"
Colombia,Yield,2029,16.75,12.9489,20.5511,10.9366,22.5634,bags/ha,"ARIMA(0,1,0)"
Colombia,Yield,2030,16.75,12.3608,21.1392,10.0373,23.4627,bags/ha,"ARIMA(0,1,0)"
Colombia,Yield,2031,16.75,11.8427,21.6573,9.24499,24.255,bags/ha,"ARIMA(0,1,0)"
Colombia (Fedecafe),Production Arabica,2027,13400,11815.5,14984.5,10976.7,15823.3,1000 60-kg bags,"ARIMA(0,1,0)"
Colombia (Fedecafe),Production Arabica,2028,13400,11159.2,15640.8,9972.96,16827,1000 60-kg bags,"ARIMA(0,1,0)"
Colombia (Fedecafe),Production Arabica,2029,13400,10655.6,16144.4,9202.75,17597.3,1000 60-kg bags,"ARIMA(0,1,0)"
Colombia (Fedecafe),Production Arabica,2030,13400,10231,16569,8553.43,18246.6,1000 60-kg bags,"ARIMA(0,1,0)"
Colombia (Fedecafe),Production Arabica,2031,13400,9856.95,16943,7981.37,18818.6,1000 60-kg bags,"ARIMA(0,1,0)"
Colombia (Fedecafe),Area total,2027,831.094,814.083,848.105,805.077,857.11,1000 ha,"ARIMA(1,1,0)"
Colombia (Fedecafe),Area total,2028,829.883,797.274,862.492,780.012,879.754,1000 ha,"ARIMA(1,1,0)"
Colombia (Fedecafe),Area total,2029,829.113,781.504,876.722,756.302,901.924,1000 ha,"ARIMA(1,1,0)"
Colombia (Fedecafe),Area total,2030,828.624,767.048,890.2,734.451,922.797,1000 ha,"ARIMA(1,1,0)"
Colombia (Fedecafe),Area total,2031,828.313,753.876,902.751,714.472,942.155,1000 ha,"ARIMA(1,1,0)"
Colombia (Fedecafe),Area non-bearing,2027,181.675,145.024,218.325,125.622,237.727,1000 ha,"ARMA(1,0)"
Colombia (Fedecafe),Area non-bearing,2028,173.992,129.703,218.28,106.258,241.725,1000 ha,"ARMA(1,0)"
Colombia (Fedecafe),Area non-bearing,2029,168.78,121.388,216.171,96.3005,241.259,1000 ha,"ARMA(1,0)"
Colombia (Fedecafe),Area non-bearing,2030,165.244,116.491,213.997,90.6823,239.806,1000 ha,"ARMA(1,0)"
Colombia (Fedecafe),Area non-bearing,2031,162.845,113.478,212.213,87.3446,238.346,1000 ha,"ARMA(1,0)"
Colombia (Fedecafe),Area bearing,2027,640,602.01,677.99,581.899,698.101,1000 ha,"ARIMA(0,1,0)"
Colombia (Fedecafe),Area bearing,2028,640,586.274,693.726,557.833,722.167,1000 ha,"ARIMA(0,1,0)"
Colombia (Fedecafe),Area bearing,2029,640,574.199,705.801,539.366,740.634,1000 ha,"ARIMA(0,1,0)"
Colombia (Fedecafe),Area bearing,2030,640,564.02,715.98,523.798,756.202,1000 ha,"ARIMA(0,1,0)"
Colombia (Fedecafe),Area bearing,2031,640,555.051,724.949,510.082,769.918,1000 ha,"ARIMA(0,1,0)"
Colombia (Fedecafe),Trees total,2027,4664.75,4315.83,5013.67,4131.12,5198.37,million trees,"ARMA(1,0)"
Colombia (Fedecafe),Trees total,2028,4807.27,4377.78,5236.75,4150.43,5464.1,million trees,"ARMA(1,0)"
Colombia (Fedecafe),Trees total,2029,4933.83,4468.26,5399.4,4221.8,5645.86,million trees,"ARMA(1,0)"
Colombia (Fedecafe),Trees total,2030,5048.94,4565.83,5532.05,4310.09,5787.79,million trees,"ARMA(1,0)"
Colombia (Fedecafe),Trees total,2031,5155.83,4663.93,5647.73,4403.53,5908.13,million trees,"ARMA(1,0)"
Colombia (Fedecafe),Yield,2027,16.0864,13.4041,18.7687,11.9841,20.1887,bags/ha,"ARIMA(0,1,0)"
Colombia (Fedecafe),Yield,2028,16.0864,12.293,19.8798,10.2849,21.8879,bags/ha,"ARIMA(0,1,0)"
Colombia (Fedecafe),Yield,2029,16.0864,11.4405,20.7323,8.98109,23.1917,bags/ha,"ARIMA(0,1,0)"
Colombia (Fedecafe),Yield,2030,16.0864,10.7218,21.451,7.88189,24.2909,bags/ha,"ARIMA(0,1,0)"
Colombia (Fedecafe),Yield,2031,16.0864,10.0886,22.0842,6.91348,25.2593,bags/ha,"ARIMA(0,1,0)"
Honduras,Production Arabica,2027,6030,4907.14,7152.86,4312.73,7747.27,1000 60-kg bags,"ARIMA(0,1,0)"
Honduras,Production Arabica,2028,6030,4442.04,7617.96,3601.42,8458.58,1000 60-kg bags,"ARIMA(0,1,0)"
Honduras,Production Arabica,2029,6030,4085.15,7974.85,3055.61,9004.39,1000 60-kg bags,"ARIMA(0,1,0)"
Honduras,Production Arabica,2030,6030,3784.28,8275.72,2595.47,9464.53,1000 60-kg bags,"ARIMA(0,1,0)"
Honduras,Production Arabica,2031,6030,3519.21,8540.79,2190.07,9869.93,1000 60-kg bags,"ARIMA(0,1,0)"
Honduras,Area total,2027,360,336.079,383.921,323.416,396.584,1000 ha,"ARIMA(0,1,0)"
Honduras,Area total,2028,360,326.171,393.829,308.263,411.737,1000 ha,"ARIMA(0,1,0)"
Honduras,Area total,2029,360,318.568,401.432,296.635,423.365,1000 ha,"ARIMA(0,1,0)"
Honduras,Area total,2030,360,312.158,407.842,286.833,433.167,1000 ha,"ARIMA(0,1,0)"
Honduras,Area total,2031,360,306.512,413.488,278.196,441.804,1000 ha,"ARIMA(0,1,0)"
Honduras,Area non-bearing,2027,38.2798,15.7911,60.7685,3.88631,72.6733,1000 ha,"ARMA(1,0)"
Honduras,Area non-bearing,2028,41.9698,17.3489,66.5906,4.31541,79.6241,1000 ha,"ARMA(1,0)"
Honduras,Area non-bearing,2029,43.6142,18.5915,68.6369,5.34528,81.8831,1000 ha,"ARMA(1,0)"
Honduras,Area non-bearing,2030,44.3471,19.2453,69.4488,5.95724,82.7369,1000 ha,"ARMA(1,0)"
Honduras,Area non-bearing,2031,44.6737,19.5562,69.7911,6.25988,83.0874,1000 ha,"ARMA(1,0)"
Honduras,Area bearing,2027,322.025,304.135,339.916,294.664,349.387,1000 ha,"ARMA(3,0)"
Honduras,Area bearing,2028,315.944,296.669,335.218,286.466,345.422,1000 ha,"ARMA(3,0)"
Honduras,Area bearing,2029,312.59,293.279,331.902,283.056,342.125,1000 ha,"ARMA(3,0)"
Honduras,Area bearing,2030,322.189,300.456,343.921,288.952,355.426,1000 ha,"ARMA(3,0)"
Honduras,Area bearing,2031,335.527,312.733,358.321,300.667,370.387,1000 ha,"ARMA(3,0)"
Honduras,Trees non-bearing,2027,271.428,246.719,296.136,233.64,309.216,million trees,"ARIMA(0,1,1)"
Honduras,Trees non-bearing,2028,271.428,225.259,317.597,200.819,342.037,million trees,"ARIMA(0,1,1)"
Honduras,Trees non-bearing,2029,271.428,210.991,331.865,178.998,363.858,million trees,"ARIMA(0,1,1)"
Honduras,Trees non-bearing,2030,271.428,199.5,343.356,161.424,381.432,million trees,"ARIMA(0,1,1)"
Honduras,Trees non-bearing,2031,271.428,189.607,353.249,146.293,396.562,million trees,"ARIMA(0,1,1)"
Honduras,Trees bearing,2027,2151.92,2030.18,2273.67,1965.73,2338.12,million trees,"ARIMA(0,1,0)"
Honduras,Trees bearing,2028,2203.85,2031.67,2376.02,1940.53,2467.16,million trees,"ARIMA(0,1,0)"
Honduras,Trees bearing,2029,2255.77,2044.9,2466.64,1933.27,2578.27,million trees,"ARIMA(0,1,0)"
Honduras,Trees bearing,2030,2307.69,2064.2,2551.18,1935.3,2680.08,million trees,"ARIMA(0,1,0)"
Honduras,Trees bearing,2031,2359.62,2087.38,2631.85,1943.27,2775.96,million trees,"ARIMA(0,1,0)"
Honduras,Trees total,2027,2427.19,2301.63,2552.76,2235.16,2619.23,million trees,"ARIMA(0,1,0)"
Honduras,Trees total,2028,2484.38,2306.81,2661.96,2212.8,2755.97,million trees,"ARIMA(0,1,0)"
Honduras,Trees total,2029,2541.58,2324.09,2759.06,2208.96,2874.19,million trees,"ARIMA(0,1,0)"
Honduras,Trees total,2030,2598.77,2347.64,2849.9,2214.7,2982.84,million trees,"ARIMA(0,1,0)"
Honduras,Trees total,2031,2655.96,2375.19,2936.74,2226.55,3085.37,million trees,"ARIMA(0,1,0)"
Honduras,Yield,2027,18.5101,15.3087,21.7114,13.614,23.4061,bags/ha,"ARIMA(1,1,0)"
Honduras,Yield,2028,18.3811,14.8616,21.9007,12.9985,23.7638,bags/ha,"ARIMA(1,1,0)"
Honduras,Yield,2029,18.4512,14.1873,22.7151,11.9301,24.9722,bags/ha,"ARIMA(1,1,0)"
Honduras,Yield,2030,18.4131,13.7476,23.0787,11.2778,25.5485,bags/ha,"ARIMA(1,1,0)"
Honduras,Yield,2031,18.4338,13.2872,23.5804,10.5628,26.3048,bags/ha,"ARIMA(1,1,0)"
Indonesia,Production Robusta,2027,10051.6,8779.72,11323.4,8106.44,11996.7,1000 60-kg bags,"ARMA(0,0)"
Indonesia,Production Robusta,2028,10146.9,8874.99,11418.7,8201.71,12092,1000 60-kg bags,"ARMA(0,0)"
Indonesia,Production Robusta,2029,10242.1,8970.27,11514,8296.98,12187.3,1000 60-kg bags,"ARMA(0,0)"
Indonesia,Production Robusta,2030,10337.4,9065.54,11609.3,8392.26,12282.6,1000 60-kg bags,"ARMA(0,0)"
Indonesia,Production Robusta,2031,10432.7,9160.81,11704.5,8487.53,12377.8,1000 60-kg bags,"ARMA(0,0)"
Indonesia,Production Arabica,2027,1391.4,1103.86,1678.94,951.639,1831.16,1000 60-kg bags,"ARIMA(2,1,0)"
Indonesia,Production Arabica,2028,1383.69,1026.88,1740.51,837.992,1929.39,1000 60-kg bags,"ARIMA(2,1,0)"
Indonesia,Production Arabica,2029,1380.4,1010.68,1750.11,814.966,1945.83,1000 60-kg bags,"ARIMA(2,1,0)"
Indonesia,Production Arabica,2030,1384.88,980.868,1788.89,766.997,2002.77,1000 60-kg bags,"ARIMA(2,1,0)"
Indonesia,Production Arabica,2031,1385.23,934.879,1835.59,696.475,2074,1000 60-kg bags,"ARIMA(2,1,0)"
Indonesia,Production Total,2027,11460.9,9998.49,12923.3,9224.34,13697.4,1000 60-kg bags,"ARMA(0,0)"
Indonesia,Production Total,2028,11564.8,10102.4,13027.2,9328.25,13801.3,1000 60-kg bags,"ARMA(0,0)"
Indonesia,Production Total,2029,11668.7,10206.3,13131.1,9432.16,13905.2,1000 60-kg bags,"ARMA(0,0)"
Indonesia,Production Total,2030,11772.6,10310.2,13235,9536.06,14009.1,1000 60-kg bags,"ARMA(0,0)"
Indonesia,Production Total,2031,11876.5,10414.1,13338.9,9639.97,14113,1000 60-kg bags,"ARMA(0,0)"
Indonesia,Area non-bearing,2027,1.24638,1.19233,1.30043,1.16371,1.32905,million ha,"ARMA(3,0)"
Indonesia,Area non-bearing,2028,1.24382,1.17767,1.30998,1.14265,1.345,million ha,"ARMA(3,0)"
Indonesia,Area non-bearing,2029,1.24345,1.17706,1.30984,1.14191,1.34498,million ha,"ARMA(3,0)"
Indonesia,Area non-bearing,2030,1.24548,1.17251,1.31844,1.13388,1.35707,million ha,"ARMA(3,0)"
Indonesia,Area non-bearing,2031,1.24796,1.16609,1.32983,1.12275,1.37317,million ha,"ARMA(3,0)"
Indonesia,Area bearing,2027,1.2,1.12111,1.27889,1.07935,1.32065,million ha,"ARIMA(0,1,0)"
Indonesia,Area bearing,2028,1.2,1.08844,1.31156,1.02938,1.37062,million ha,"ARIMA(0,1,0)"
Indonesia,Area bearing,2029,1.2,1.06336,1.33664,0.991031,1.40897,million ha,"ARIMA(0,1,0)"
Indonesia,Area bearing,2030,1.2,1.04222,1.35778,0.958703,1.4413,million ha,"ARIMA(0,1,0)"
Indonesia,Area bearing,2031,1.2,1.0236,1.3764,0.930222,1.46978,million ha,"ARIMA(0,1,0)"
Indonesia,Area total,2027,2.50565,2.40191,2.60939,2.34699,2.6643,million ha,"ARMA(0,1)"
Indonesia,Area total,2028,2.57259,2.4358,2.70939,2.36338,2.7818,million ha,"ARMA(0,1)"
Indonesia,Area total,2029,2.58819,2.45139,2.72498,2.37898,2.7974,million ha,"ARMA(0,1)"
Indonesia,Area total,2030,2.60378,2.46699,2.74058,2.39457,2.81299,million ha,"ARMA(0,1)"
Indonesia,Area total,2031,2.61937,2.48258,2.75617,2.41017,2.82858,million ha,"ARMA(0,1)"
Indonesia,Trees non-bearing,2021,1.25,-31.2642,33.7642,-48.4762,50.9761,million trees,"ARIMA(0,1,0)"
Indonesia,Trees non-bearing,2022,-12.5,-58.482,33.482,-82.8234,57.8234,million trees,"ARIMA(0,1,0)"
Indonesia,Trees non-bearing,2023,-26.25,-82.5662,30.0662,-112.378,59.8782,million trees,"ARIMA(0,1,0)"
Indonesia,Trees non-bearing,2024,-40,-105.028,25.0283,-139.452,59.4523,million trees,"ARIMA(0,1,0)"
Indonesia,Trees non-bearing,2025,-53.75,-126.454,18.9539,-164.941,57.441,million trees,"ARIMA(0,1,0)"
Indonesia,Trees bearing,2021,1182.11,1094.17,1270.05,1047.62,1316.6,million trees,"ARMA(0,1)"
Indonesia,Trees bearing,2022,1198.33,1094,1302.65,1038.77,1357.88,million trees,"ARMA(0,1)"
Indonesia,Trees bearing,2023,1198.33,1094,1302.65,1038.77,1357.88,million trees,"ARMA(0,1)"
Indonesia,Trees bearing,2024,1198.33,1094,1302.65,1038.77,1357.88,million trees,"ARMA(0,1)"
Indonesia,Trees bearing,2025,1198.33,1094,1302.65,1038.77,1357.88,million trees,"ARMA(0,1)"
Indonesia,Trees total,2021,1127.09,1019.41,1234.78,962.407,1291.78,million trees,"ARMA(0,1)"
Indonesia,Trees total,2022,1088.1,965.602,1210.59,900.758,1275.43,million trees,"ARMA(0,1)"
Indonesia,Trees total,2023,1067.04,944.543,1189.53,879.699,1254.37,million trees,"ARMA(0,1)"
Indonesia,Trees total,2024,1045.98,923.484,1168.47,858.64,1233.32,million trees,"ARMA(0,1)"
Indonesia,Trees total,2025,1024.92,902.425,1147.41,837.581,1212.26,million trees,"ARMA(0,1)"
Indonesia,Yield (production / bearing area),2027,9.05297,7.75921,10.3467,7.07434,11.0316,bags/ha,"ARMA(0,0)"
Indonesia,Yield (production / bearing area),2028,9.05297,7.75921,10.3467,7.07434,11.0316,bags/ha,"ARMA(0,0)"
Indonesia,Yield (production / bearing area),2029,9.05297,7.75921,10.3467,7.07434,11.0316,bags/ha,"ARMA(0,0)"
Indonesia,Yield (production / bearing area),2030,9.05297,7.75921,10.3467,7.07434,11.0316,bags/ha,"ARMA(0,0)"
Indonesia,Yield (production / bearing area),2031,9.05297,7.75921,10.3467,7.07434,11.0316,bags/ha,"ARMA(0,0)"
Indonesia,Production (BPS),2024,759,723.199,794.801,704.247,813.753,1000 t,"ARIMA(0,1,0)"
Indonesia,Production (BPS),2025,759,708.37,809.63,681.568,836.432,1000 t,"ARIMA(0,1,0)"
Indonesia,Production (BPS),2026,759,696.991,821.009,664.166,853.834,1000 t,"ARIMA(0,1,0)"
Indonesia,Production (BPS),2027,759,687.398,830.602,649.495,868.505,1000 t,"ARIMA(0,1,0)"
Indonesia,Production (BPS),2028,759,678.947,839.053,636.569,881.431,1000 t,"ARIMA(0,1,0)"
Indonesia,Area total (BPS),2024,1.266,1.23385,1.29815,1.21683,1.31517,million ha,"ARIMA(0,1,0)"
Indonesia,Area total (BPS),2025,1.266,1.22053,1.31147,1.19646,1.33554,million ha,"ARIMA(0,1,0)"
Indonesia,Area total (BPS),2026,1.266,1.21031,1.32169,1.18083,1.35117,million ha,"ARIMA(0,1,0)"
Indonesia,Area total (BPS),2027,1.266,1.20169,1.33031,1.16765,1.36435,million ha,"ARIMA(0,1,0)"
Indonesia,Area total (BPS),2028,1.266,1.1941,1.3379,1.15604,1.37596,million ha,"ARIMA(0,1,0)"
Vietnam,Production Robusta,2027,32071.6,28680.5,35462.7,26885.3,37257.8,1000 60-kg bags,"ARIMA(0,1,1)"
Vietnam,Production Robusta,2028,32958.7,28999.7,36917.6,26904,39013.3,1000 60-kg bags,"ARIMA(0,1,1)"
Vietnam,Production Robusta,2029,33845.8,29390.8,38300.7,27032.5,40659,1000 60-kg bags,"ARIMA(0,1,1)"
Vietnam,Production Robusta,2030,34732.8,29831.8,39633.9,27237.3,42228.4,1000 60-kg bags,"ARIMA(0,1,1)"
Vietnam,Production Robusta,2031,35619.9,30310.1,40929.7,27499.3,43740.6,1000 60-kg bags,"ARIMA(0,1,1)"
Vietnam,Production Arabica,2027,1134.94,974.036,1295.84,888.861,1381.01,1000 60-kg bags,"ARIMA(0,1,0)"
Vietnam,Production Arabica,2028,1169.87,942.324,1397.42,821.869,1517.87,1000 60-kg bags,"ARIMA(0,1,0)"
Vietnam,Production Arabica,2029,1204.81,926.12,1483.49,778.592,1631.02,1000 60-kg bags,"ARIMA(0,1,0)"
Vietnam,Production Arabica,2030,1239.74,917.943,1561.54,747.592,1731.89,1000 60-kg bags,"ARIMA(0,1,0)"
Vietnam,Production Arabica,2031,1274.68,914.895,1634.46,724.437,1824.92,1000 60-kg bags,"ARIMA(0,1,0)"
Vietnam,Production Total,2027,33261.5,29848.1,36674.9,28041.1,38481.8,1000 60-kg bags,"ARIMA(0,1,1)"
Vietnam,Production Total,2028,34183.5,30155.4,38211.6,28023,40344,1000 60-kg bags,"ARIMA(0,1,1)"
Vietnam,Production Total,2029,35105.5,30544.8,39666.3,28130.4,42080.6,1000 60-kg bags,"ARIMA(0,1,1)"
Vietnam,Production Total,2030,36027.6,30990.2,41065,28323.5,43731.6,1000 60-kg bags,"ARIMA(0,1,1)"
Vietnam,Production Total,2031,36949.6,31476.9,42422.3,28579.9,45319.3,1000 60-kg bags,"ARIMA(0,1,1)"
Vietnam,Area total,2027,735.857,702.176,769.538,684.346,787.368,1000 ha,"ARMA(1,1)"
Vietnam,Area total,2028,766.983,705.66,828.307,673.197,860.769,1000 ha,"ARMA(1,1)"
Vietnam,Area total,2029,793.671,721.883,865.458,683.881,903.46,1000 ha,"ARMA(1,1)"
