library,name,server_relative_url,modified
Series Pblicas,Posición Financiera de la AC y SPNF.xlsx,/estadisticos/EF/Series Pblicas/Posición Financiera de la AC y SPNF.xlsx,2026-09-25T18:03:17Z
Series Pblicas,Agregados Monetarios como Porcentaje del PIB.xlsx,/estadisticos/EF/Series Pblicas/Agregados Monetarios como Porcentaje del PIB.xlsx,2026-09-22T17:10:16Z
Series Pblicas,Financiamiento Interno AC por Sector.xlsx,/estadisticos/EF/Series Pblicas/Financiamiento Interno AC por Sector.xlsx,2026-09-25T18:03:17Z
Series Pblicas,Captación de los Bancos Comerciales.xlsx,/estadisticos/EF/Series Pblicas/Captación de los Bancos Comerciales.xlsx,2026-09-22T17:10:17Z
Series Pblicas,Agregados Monetarios.xlsx,/estadisticos/EF/Series Pblicas/Agregados Monetarios.xlsx,2026-09-22T17:10:17Z
Series Pblicas,Financiamiento Externo e Interno AC y SPNF.xlsx,/estadisticos/EF/Series Pblicas/Financiamiento Externo e Interno AC y SPNF.xlsx,2026-09-25T18:03:17Z
Series Pblicas,RIN y ARO.xlsx,/estadisticos/EF/Series Pblicas/RIN y ARO.xlsx,2026-09-22T17:10:19Z
Series Pblicas,Deuda Interna del SP por Instrumento.xlsx,/estadisticos/EF/Series Pblicas/Deuda Interna del SP por Instrumento.xlsx,2026-09-21T23:15:41Z
Series Pblicas,Préstamos de BC Porcentaje PIB.xlsx,/estadisticos/EF/Series Pblicas/Préstamos de BC Porcentaje PIB.xlsx,2026-09-22T17:10:18Z
Series Pblicas,Emisión y Base Monetaria.xlsx,/estadisticos/EF/Series Pblicas/Emisión y Base Monetaria.xlsx,2026-09-22T17:10:18Z
reportes,Plantilla de reporte RPT-EF-016.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-016.xlsx,2026-09-22T17:11:13Z
reportes,Plantilla de reporte RPT-EF-011.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-011.xlsx,2026-09-21T23:15:18Z
reportes,Plantilla de reporte RPT-EF-080.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-080.xlsx,2026-09-22T17:11:14Z
reportes,Plantilla de reporte RPT-EF-007.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-007.xlsx,2026-09-25T18:02:57Z
reportes,Plantilla de reporte EMF-EF-080.xlsx,/estadisticos/EF/reportes/Plantilla de reporte EMF-EF-080.xlsx,2025-01-03T23:34:30Z
reportes,Plantilla de reporte RPT-EF-005.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-005.xlsx,2026-09-22T17:11:12Z
reportes,Plantilla de reporte RPT-EF-009.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-009.xlsx,2026-09-21T23:15:18Z
reportes,Plantilla de reporte RPT-EF-079.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-079.xlsx,2026-09-22T17:11:13Z
reportes,Plantilla de reporte RPT-EF-008.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-008.xlsx,2026-09-25T18:02:57Z
reportes,Plantilla de reporte RPT-EF-001.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-001.xlsx,2026-09-22T17:11:10Z
reportes,Plantilla de reporte RPT-EF-004.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-004.xlsx,2026-09-22T17:11:12Z
reportes,Plantilla de reporte RPT-EF-002.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-002.xlsx,2026-09-22T17:11:11Z
reportes,Plantilla de reporte CIFRAS-EMF-TI-03.xlsx,/estadisticos/EF/reportes/Plantilla de reporte CIFRAS-EMF-TI-03.xlsx,2024-04-24T22:41:32Z
reportes,Plantilla de reporte RPT-EF-006.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-006.xlsx,2026-09-22T17:11:12Z
reportes,Plantilla de reporte RPT-EF-003.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-003.xlsx,2026-09-22T17:11:11Z
reportes,Plantilla de reporte  RPT-EF-OM-089.xlsx,/estadisticos/EF/reportes/Plantilla de reporte  RPT-EF-OM-089.xlsx,2026-07-17T15:26:22Z
reportes,Plantilla de reporte RPT-EF-010.xlsx,/estadisticos/EF/reportes/Plantilla de reporte RPT-EF-010.xlsx,2026-09-21T23:15:18Z
LIBFINANCIAMIENTO,Financiamiento de la AC por Sector.xlsx,/estadisticos/EF/LIBFINANCIAMIENTO/Financiamiento de la AC por Sector.xlsx,2026-09-17T22:27:18Z
LIBFINANCIAMIENTO,Financiamiento del SPNF por Instrumento.xlsx,/estadisticos/EF/LIBFINANCIAMIENTO/Financiamiento del SPNF por Instrumento.xlsx,2026-09-25T17:38:36Z
LIBFINANCIAMIENTO,Financiamiento de la AC por Instrumento.xlsx,/estadisticos/EF/LIBFINANCIAMIENTO/Financiamiento de la AC por Instrumento.xlsx,2026-09-17T22:27:18Z
LIBFINANCIAMIENTO,Financiamiento del SPNF por Sector.xlsx,/estadisticos/EF/LIBFINANCIAMIENTO/Financiamiento del SPNF por Sector.xlsx,2026-09-25T17:38:36Z
Documents,PCM_054_establece_el_CEF.pdf,/estadisticos/EF/Documents/PCM_054_establece_el_CEF.pdf,2020-07-30T22:24:07Z
Documents,Portadas Informes.rar,/estadisticos/EF/Documents/Portadas Informes.rar,2020-07-31T15:46:40Z
Documents,Estructura_Sistema_Financiero.pptx,/estadisticos/EF/Documents/Estructura_Sistema_Financiero.pptx,2024-01-04T16:18:45Z
Documents,Genericas.rar,/estadisticos/EF/Documents/Genericas.rar,2020-07-31T15:45:00Z
Documents,estructura_sistema_financiero.pdf,/estadisticos/EF/Documents/estructura_sistema_financiero.pdf,2020-07-30T22:24:07Z
Documents,FSD_Honduras.xml,/estadisticos/EF/Documents/FSD_Honduras.xml,2025-01-30T20:17:35Z
